"P1";"P2";"Vainqueur"
"Roucarnage";"Lippoutou";"Roucarnage"
"Grolem";"Kangourex";"Kangourex"
"Pyroli";"Ronflex";"Pyroli"
"Kangourex";"Kabutops";"Kangourex"
"Tygnon";"Ronflex";"Ronflex"
"Mackogneur";"Lokhlass";"Lokhlass"
"Sablaireau";"Lokhlass";"Lokhlass"
"Canarticho";"Dracolosse";"Canarticho"
"Florizarre (Femelle)";"Parasect";"Florizarre (Femelle)"
"Ectoplasma";"Pyroli";"Pyroli"
"Rattatac (Mâle)";"Raichu (Mâle)";"Rattatac (Mâle)"
"Ectoplasma";"Kicklee";"Kicklee"
"Galopa";"Ectoplasma";"Galopa"
"Papilusion (Femelle)";"Dardargnan";"Papilusion (Femelle)"
"Triopikeur";"Mewtwo";"Mewtwo"
"Nidoqueen";"Akwakwak";"Nidoqueen"
"Dracaufeu";"Tortank";"Dracaufeu"
"Grodoudou";"M. Mime";"Grodoudou"
"Tentacruel";"Métamorph";"Tentacruel"
"Crustabri";"Krabboss";"Crustabri"
"Ossatueur";"Ronflex";"Ossatueur"
"Arbok";"Mélodelfe";"Arbok"
"Roucarnage";"Rafflesia (Femelle)";"Roucarnage"
"Noadkoko";"Staross";"Staross"
"Ossatueur";"Artikodin";"Artikodin"
"Rattatac (Mâle)";"Mew";"Mew"
"Florizarre (Femelle)";"Papilusion (Femelle)";"Papilusion (Femelle)"
"Papilusion (Femelle)";"Mew";"Papilusion (Femelle)"
"Aéromite";"Akwakwak";"Aéromite"
"Kabutops";"Sulfura";"Sulfura"
"Arbok";"Colossinge";"Arbok"
"Smogogo";"Dracolosse";"Smogogo"
"Mackogneur";"Noadkoko";"Mackogneur"
"Florizarre (Femelle)";"Roucarnage";"Roucarnage"
"M. Mime";"Voltali";"Voltali"
"Aquali";"Mewtwo";"Aquali"
"Nidoqueen";"Aquali";"Nidoqueen"
"Sablaireau";"Nidoking";"Nidoking"
"Rattatac (Mâle)";"Arcanin";"Arcanin"
"Parasect";"Dracolosse";"Dracolosse"
"Akwakwak";"Electhor";"Electhor"
"Parasect";"Grolem";"Grolem"
"Aéromite";"Scarabrute";"Aéromite"
"Triopikeur";"Poissoroy (Mâle)";"Triopikeur"
"Nidoqueen";"Tauros";"Nidoqueen"
"Grotadmorv";"Ossatueur";"Ossatueur"
"Rapasdepic";"Artikodin";"Rapasdepic"
