Rang;Pokemon
0;Farigiraf
1;Flotte-Mèche
2;Boréas (Avatar)
3;Shifours (Mille Poings)
4;Baojian
5;Gorythmic
6;Paume-de-Fer
7;Ogerpon (Masque Turquoise)
8;Heatran
9;Regidrago
10;Démétéros (Totémique)
0;Théffroyable (Forme Médiocre)
1;Ogerpon (Masque Turquoise)
2;Paume-de-Fer
3;Démétéros (Totémique)
4;Flotte-Mèche
5;Angoliath
6;Baojian
7;Shifours (Mille Poings)
8;Boréas (Avatar)
9;Arcanin (Hisui)
10;Gorythmic
0;Carmadura
1;Wimessir (Femelle)
2;Chartor
3;Flotte-Mèche
4;Shifours (Mille Poings)
5;Ursaking
6;Paume-de-Fer
7;Fragilady (Hisui)
8;Ogerpon (Masque Turquoise)
9;Baojian
10;Boréas (Avatar)
0;Hotte-de-Fer
1;Flotte-Mèche
2;Paume-de-Fer
3;Démétéros (Totémique)
4;Boréas (Avatar)
5;Ogerpon (Masque Turquoise)
6;Shifours (Poing Final)
7;Gorythmic
8;Yuyu
9;Baojian
10;Gromago
0;Oyacata
1;Nigirigon
2;Flotte-Mèche
3;Baojian
4;Nigirigon (Forme Raide)
5;Dracolosse
6;Yuyu
7;Boréas (Avatar)
8;Gorythmic
9;Ogerpon (Masque Turquoise)
10;Cresselia
0;Tritosor (Mer Occident)
1;Flotte-Mèche
2;Arcanin (Hisui)
3;Gorythmic
4;Démétéros (Totémique)
5;Paume-de-Fer
6;Boréas (Avatar)
7;Shifours (Poing Final)
8;Angoliath
9;Yuyu
10;Heatran
0;Nymphali
1;Gorythmic
2;Heatran
3;Arcanin (Hisui)
4;Shifours (Poing Final)
5;Electhor
6;Paume-de-Fer
7;Baojian
8;Shifours (Mille Poings)
9;Tritosor (Mer Occident)
10;Oyacata
0;Léviator (Mâle)
1;Flotte-Mèche
2;Paume-de-Fer
3;Ogerpon (Masque Turquoise)
4;Gaulet
5;Yuyu
6;Gorythmic
7;Angoliath
8;Boréas (Avatar)
9;Baojian
10;Heatran
0;Muplodocus (Hisui)
1;Angoliath
2;Démétéros (Totémique)
3;Flotte-Mèche
4;Gorythmic
5;Shifours (Mille Poings)
6;Cresselia
7;Ogerpon (Masque Turquoise)
8;Théffroyable (Forme Médiocre)
9;Gaulet
10;Arcanin (Hisui)
0;Courrousinge
1;Flotte-Mèche
2;Angoliath
3;Gorythmic
4;Famignol
5;Boréas (Avatar)
6;Ogerpon (Masque Turquoise)
7;Baojian
8;Démétéros (Totémique)
9;Paume-de-Fer
10;Cresselia
0;Bekipan
1;Paragruel (Mâle)
2;Shifours (Mille Poings)
3;Baojian
4;Gromago
5;Paume-de-Fer
6;Gaulet
7;Flotte-Mèche
8;Gorythmic
9;Ogerpon (Masque Turquoise)
10;Boréas (Avatar)
0;Electhor
1;Gorythmic
2;Flotte-Mèche
3;Démétéros (Totémique)
4;Shifours (Mille Poings)
5;Shifours (Poing Final)
6;Heatran
7;Arcanin (Hisui)
8;Baojian
9;Ogerpon (Masque Turquoise)
10;Nymphali
0;Fulguris (Avatar)
1;Flotte-Mèche
2;Shifours (Mille Poings)
3;Démétéros (Totémique)
4;Baojian
5;Heatran
6;Gorythmic
7;Ogerpon (Masque Turquoise)
8;Paume-de-Fer
9;Arcanin (Hisui)
10;Gaulet
0;Rugit-Lune
1;Flotte-Mèche
2;Paume-de-Fer
3;Ogerpon (Masque Turquoise)
4;Baojian
5;Shifours (Mille Poings)
6;Gromago
7;Boréas (Avatar)
8;Wimessir (Femelle)
9;Gorythmic
10;Arcanin (Hisui)
0;Paragruel (Mâle)
1;Bekipan
2;Boréas (Avatar)
3;Flotte-Mèche
4;Baojian
5;Gorythmic
6;Shifours (Mille Poings)
7;Gromago
8;Paume-de-Fer
9;Arcanin (Hisui)
10;Gaulet
0;Regidrago
1;Boréas (Avatar)
2;Shifours (Mille Poings)
3;Flotte-Mèche
4;Farigiraf
5;Gromago
6;Regieleki
7;Gorythmic
8;Wimessir (Femelle)
9;Ogerpon (Masque Turquoise)
10;Paume-de-Fer
0;Arcanin
1;Flotte-Mèche
2;Paume-de-Fer
3;Gorythmic
4;Angoliath
5;Baojian
6;Gaulet
7;Shifours (Mille Poings)
8;Ogerpon (Masque Turquoise)
9;Boréas (Avatar)
10;Dracolosse
0;Scalpereur
1;Flotte-Mèche
2;Ogerpon (Masque Turquoise)
3;Démétéros (Totémique)
4;Paume-de-Fer
5;Boréas (Avatar)
6;Shifours (Mille Poings)
7;Baojian
8;Gorythmic
9;Théffroyable (Forme Médiocre)
10;Yuyu
0;Félicanis
1;Ogerpon (Masque Turquoise)
2;Baojian
3;Flotte-Mèche
4;Gorythmic
5;Boréas (Avatar)
6;Théffroyable (Forme Médiocre)
7;Démétéros (Totémique)
8;Arcanin (Hisui)
9;Angoliath
10;Shifours (Poing Final)
0;Regieleki
1;Flotte-Mèche
2;Shifours (Mille Poings)
3;Boréas (Avatar)
4;Farigiraf
5;Regidrago
6;Baojian
7;Gorythmic
8;Ogerpon (Masque Turquoise)
9;Démétéros (Avatar)
10;Shifours (Poing Final)
0;Cizayox (Mâle)
1;Flotte-Mèche
2;Boréas (Avatar)
3;Baojian
4;Paume-de-Fer
5;Ogerpon (Masque Turquoise)
6;Shifours (Mille Poings)
7;Dracolosse
8;Gorythmic
9;Démétéros (Totémique)
10;Heatran
0;Nigirigon
1;Oyacata
2;Flotte-Mèche
3;Yuyu
4;Baojian
5;Boréas (Avatar)
6;Ogerpon (Masque Turquoise)
7;Dracolosse
8;Paume-de-Fer
9;Floréclat
10;Gorythmic
0;Sulfura (Galar)
1;Angoliath
2;Flotte-Mèche
3;Démétéros (Totémique)
4;Arcanin (Hisui)
5;Shifours (Mille Poings)
6;Théffroyable (Forme Médiocre)
7;Paume-de-Fer
8;Muplodocus (Hisui)
9;Baojian
10;Boréas (Avatar)
0;Lanssorien
1;Baojian
2;Shifours (Mille Poings)
3;Farigiraf
4;Gorythmic
5;Heatran
6;Boréas (Avatar)
7;Flotte-Mèche
8;Paume-de-Fer
9;Ogerpon (Masque Turquoise)
10;Dracolosse
0;Farfurex
1;Wimessir (Femelle)
2;Boréas (Avatar)
3;Flotte-Mèche
4;Gorythmic
5;Carmadura
6;Yuyu
7;Baojian
8;Paragruel (Mâle)
9;Shifours (Mille Poings)
10;Shifours (Poing Final)
0;Pyrax
1;Angoliath
2;Flotte-Mèche
3;Gorythmic
4;Démétéros (Totémique)
5;Paume-de-Fer
6;Cresselia
7;Baojian
8;Ogerpon (Masque Turquoise)
9;Shifours (Mille Poings)
10;Boréas (Avatar)
0;Dinglu
1;Flotte-Mèche
2;Paume-de-Fer
3;Cresselia
4;Heatran
5;Ogerpon (Masque Turquoise)
6;Gorythmic
7;Shifours (Mille Poings)
8;Gaulet
9;Baojian
10;Dracolosse
0;Blizzaroi (Mâle)
1;Artikodin
2;Hotte-de-Fer
3;Paume-de-Fer
4;Heatran
5;Flotte-Mèche
6;Baojian
7;Démétéros (Totémique)
8;Shifours (Mille Poings)
9;Farigiraf
10;Dinglu
0;Fragilady (Hisui)
1;Chartor
2;Wimessir (Femelle)
3;Carmadura
4;Ursaking
5;Flotte-Mèche
6;Sorcilence
7;Cresselia
8;Paume-de-Fer
9;Boréas (Avatar)
10;Ogerpon (Masque Turquoise)
0;Famignol
1;Courrousinge
2;Flotte-Mèche
3;Shifours (Poing Final)
4;Ogerpon (Masque Turquoise)
5;Chartor
6;Boréas (Avatar)
7;Gorythmic
8;Ursaking
9;Cresselia
10;Baojian
0;Tyranocif
1;Lougaroc (Diurne)
2;Heatran
3;Flotte-Mèche
4;Ogerpon (Masque Turquoise)
5;Oyacata
6;Nymphali
7;Nigirigon (Forme Raide)
8;Wimessir (Femelle)
9;Boréas (Avatar)
10;Hotte-de-Fer
0;Glaivodo
1;Flotte-Mèche
2;Ogerpon (Masque Turquoise)
3;Boréas (Avatar)
4;Shifours (Mille Poings)
5;Heatran
6;Gromago
7;Paume-de-Fer
8;Gorythmic
9;Gaulet
10;Démétéros (Totémique)
0;Carchacrok (Mâle)
1;Flotte-Mèche
2;Boréas (Avatar)
3;Baojian
4;Ogerpon (Masque Turquoise)
5;Paume-de-Fer
6;Angoliath
7;Dracolosse
8;Gromago
9;Yuyu
10;Tyranocif
0;Favianos
1;Ogerpon (Masque Turquoise)
2;Gorythmic
3;Flotte-Mèche
4;Théffroyable (Forme Médiocre)
5;Baojian
6;Arcanin
7;Shifours (Mille Poings)
8;Démétéros (Totémique)
9;Félicanis
10;Dracolosse
0;Virevorreur
1;Boréas (Avatar)
2;Flotte-Mèche
3;Shifours (Mille Poings)
4;Yuyu
5;Gromago
6;Paume-de-Fer
7;Démétéros (Avatar)
8;Baojian
9;Ogerpon (Masque Turquoise)
10;Farigiraf
0;Démétéros (Avatar)
1;Boréas (Avatar)
2;Flotte-Mèche
3;Ogerpon (Masque Turquoise)
4;Gorythmic
5;Shifours (Mille Poings)
6;Baojian
7;Bekipan
8;Paragruel (Mâle)
9;Paume-de-Fer
10;Yuyu
0;Floréclat
1;Flotte-Mèche
2;Oyacata
3;Nigirigon
4;Boréas (Avatar)
5;Ogerpon (Masque Turquoise)
6;Yuyu
7;Dracolosse
8;Gorythmic
9;Baojian
10;Angoliath
0;Sorcilence
1;Chartor
2;Wimessir (Femelle)
3;Carmadura
4;Ursaking
5;Fragilady
6;Paume-de-Fer
7;Flotte-Mèche
8;Shifours (Poing Final)
9;Farigiraf
10;Blizzeval
0;Flambusard
1;Flotte-Mèche
2;Baojian
3;Ogerpon (Masque Turquoise)
4;Hotte-de-Fer
5;Paume-de-Fer
6;Gromago
7;Dracolosse
8;Gorythmic
9;Gaulet
10;Courrousinge
0;Ténéfix
1;Flotte-Mèche
2;Ogerpon (Masque Turquoise)
3;Gorythmic
4;Paume-de-Fer
5;Baojian
6;Gaulet
7;Dracolosse
8;Hotte-de-Fer
9;Shifours (Mille Poings)
10;Yuyu
0;Mimiqui
1;Shifours (Mille Poings)
2;Boréas (Avatar)
3;Gorythmic
4;Regidrago
5;Gromago
6;Heatran
7;Baojian
8;Dracolosse
9;Paume-de-Fer
10;Electhor
0;Artikodin
1;Blizzaroi (Mâle)
2;Paume-de-Fer
3;Heatran
4;Baojian
5;Farigiraf
6;Shifours (Mille Poings)
7;Dinglu
8;Boréas (Avatar)
9;Démétéros (Totémique)
10;Flotte-Mèche
0;Fortusimia
1;Ogerpon (Masque Turquoise)
2;Flotte-Mèche
3;Théffroyable (Forme Médiocre)
4;Arcanin
5;Félicanis
6;Boréas (Avatar)
7;Gorythmic
8;Favianos
9;Démétéros (Totémique)
10;Baojian
0;Gigansel
1;Flotte-Mèche
2;Paume-de-Fer
3;Gaulet
4;Angoliath
5;Baojian
6;Cresselia
7;Gromago
8;Dracolosse
9;Ogerpon (Masque Turquoise)
10;Gorythmic
0;Malvalame
1;Flotte-Mèche
2;Ogerpon (Masque Turquoise)
3;Baojian
4;Paume-de-Fer
5;Sulfura (Galar)
6;Tritosor (Mer Occident)
7;Angoliath
8;Dracolosse
9;Boréas (Avatar)
10;Démétéros (Totémique)
0;Chongjian
1;Flotte-Mèche
2;Heatran
3;Démétéros (Totémique)
4;Shifours (Mille Poings)
5;Fulguris (Avatar)
6;Nymphali
7;Farfurex
8;Cresselia
9;Bekipan
10;Paragruel (Mâle)
0;Cornèbre (Mâle)
1;Flotte-Mèche
2;Ogerpon (Masque Turquoise)
3;Gromago
4;Baojian
5;Yuyu
6;Paume-de-Fer
7;Shifours (Mille Poings)
8;Carchacrok (Mâle)
9;Dracolosse
10;Démétéros (Totémique)
0;Azumarill
1;Flotte-Mèche
2;Paume-de-Fer
3;Gaulet
4;Shifours (Poing Final)
5;Gromago
6;Baojian
7;Démétéros (Totémique)
8;Heatran
9;Gorythmic
10;Boréas (Avatar)
0;Denticrisse
1;Chartor
2;Ursaking
3;Shifours (Poing Final)
4;Flotte-Mèche
5;Famignol
6;Wimessir (Femelle)
7;Carmadura
8;Cresselia
9;Paume-de-Fer
10;Baojian
0;Miascarade
1;Boréas (Avatar)
2;Flotte-Mèche
3;Baojian
4;Paume-de-Fer
5;Shifours (Mille Poings)
6;Wimessir (Femelle)
7;Carmadura
8;Carchacrok (Mâle)
9;Ogerpon (Masque Turquoise)
10;Dracolosse
0;Nigirigon (Forme Raide)
1;Oyacata
2;Heatran
3;Nymphali
4;Flotte-Mèche
5;Tyranocif
6;Lougaroc (Diurne)
7;Baojian
8;Dracolosse
9;Yuyu
10;Paume-de-Fer
0;Hurle-Queue
1;Baojian
2;Dracolosse
3;Sidérella
4;Paume-de-Fer
5;Flotte-Mèche
6;Ogerpon (Masque Turquoise)
7;Shifours (Mille Poings)
8;Gromago
9;Gorythmic
10;Boréas (Avatar)
0;Garde-de-Fer
1;Flotte-Mèche
2;Yuyu
3;Boréas (Avatar)
4;Ogerpon (Masque Turquoise)
5;Malvalame
6;Baojian
7;Tritosor (Mer Occident)
8;Paume-de-Fer
9;Sulfura (Galar)
10;Dracolosse
0;Blizzeval
1;Cresselia
2;Flotte-Mèche
3;Heatran
4;Gorythmic
5;Paume-de-Fer
6;Shifours (Poing Final)
7;Ursaking
8;Wimessir (Femelle)
9;Chartor
10;Shifours (Mille Poings)
0;Fongus-Furie
1;Flotte-Mèche
2;Boréas (Avatar)
3;Baojian
4;Yuyu
5;Paume-de-Fer
6;Dracolosse
7;Chartor
8;Démétéros (Totémique)
9;Ursaking
10;Cresselia
0;Corvaillus
1;Flotte-Mèche
2;Paume-de-Fer
3;Dracolosse
4;Baojian
5;Ogerpon (Masque Turquoise)
6;Angoliath
7;Tyranocif
8;Shifours (Mille Poings)
9;Carchacrok (Mâle)
10;Courrousinge
0;Dracaufeu
1;Chartor
2;Flotte-Mèche
3;Boréas (Avatar)
4;Fragilady (Hisui)
5;Wimessir (Femelle)
6;Carmadura
7;Gorythmic
8;Démétéros (Totémique)
9;Angoliath
10;Baojian
0;Superdofin (Héro)
1;Paume-de-Fer
2;Flotte-Mèche
3;Gaulet
4;Baojian
5;Arcanin
6;Gorythmic
7;Cresselia
8;Démétéros (Totémique)
9;Boréas (Avatar)
10;Bekipan
0;Lougaroc (Diurne)
1;Tyranocif
2;Oyacata
3;Heatran
4;Nymphali
5;Nigirigon (Forme Raide)
6;Flotte-Mèche
7;Ogerpon (Masque Turquoise)
8;Wimessir (Femelle)
9;Carmadura
10;Hotte-de-Fer
0;Forgelina
1;Boréas (Avatar)
2;Dracolosse
3;Baojian
4;Flotte-Mèche
5;Ogerpon (Masque Turquoise)
6;Gromago
7;Shifours (Mille Poings)
8;Angoliath
9;Tritosor (Mer Occident)
10;Léviator (Mâle)
0;Gouroutan
1;Chartor
2;Ursaking
3;Wimessir (Femelle)
4;Paume-de-Fer
5;Flotte-Mèche
6;Carmadura
7;Tyranocif
8;Hotte-de-Fer
9;Ogerpon (Masque Turquoise)
10;Boréas (Avatar)
0;Drattak
1;Flotte-Mèche
2;Paume-de-Fer
3;Ogerpon (Masque Turquoise)
4;Shifours (Mille Poings)
5;Gorythmic
6;Heatran
7;Baojian
8;Angoliath
9;Gromago
10;Gaulet
0;Zoroark (Hisui)
1;Flotte-Mèche
2;Heatran
3;Ursaking
4;Paume-de-Fer
5;Wimessir (Femelle)
6;Shifours (Mille Poings)
7;Shifours (Poing Final)
8;Cresselia
9;Carmadura
10;Baojian
0;Fort-Ivoire
1;Flotte-Mèche
2;Boréas (Avatar)
3;Chartor
4;Yuyu
5;Hotte-de-Fer
6;Baojian
7;Ogerpon (Masque Turquoise)
8;Dracolosse
9;Gromago
10;Gorythmic
0;Typhlosion (Hisui)
1;Boréas (Avatar)
2;Flotte-Mèche
3;Chartor
4;Fragilady
5;Shifours (Poing Final)
6;Gorythmic
7;Farigiraf
8;Ogerpon (Masque Turquoise)
9;Ursaking
10;Démétéros (Totémique)
0;Fulguris (Totémique)
1;Boréas (Avatar)
2;Bekipan
3;Flotte-Mèche
4;Shifours (Mille Poings)
5;Paragruel (Mâle)
6;Gorythmic
7;Démétéros (Avatar)
8;Baojian
9;Gaulet
10;Ogerpon (Masque Turquoise)
0;Amovénus (Totémique)
1;Ursaking
2;Paume-de-Fer
3;Wimessir (Femelle)
4;Chartor
5;Cresselia
6;Carmadura
7;Shifours (Poing Final)
8;Heatran
9;Scalpereur
10;Fragilady (Hisui)
0;Flamenroule
1;Oyacata
2;Nigirigon
3;Grotadmorv (Alola)
4;Scovilain
5;Flotte-Mèche
6;Wimessir (Femelle)
7;Nymphali
8;Angoliath
9;Mentali
10;Ténéfix
0;Mite-de-Fer
1;Flotte-Mèche
2;Démétéros (Totémique)
3;Paume-de-Fer
4;Boréas (Avatar)
5;Baojian
6;Ogerpon (Masque Turquoise)
7;Gaulet
8;Roue-de-Fer
9;Dracolosse
10;Shifours (Mille Poings)
0;Sidérella
1;Flotte-Mèche
2;Paume-de-Fer
3;Hurle-Queue
4;Shifours (Mille Poings)
5;Gorythmic
6;Gaulet
7;Gromago
8;Arcanin (Hisui)
9;Démétéros (Avatar)
10;Baojian
0;Nigirigon (Forme Affalée)
1;Oyacata
2;Cresselia
3;Ursaking
4;Baojian
5;Dracolosse
6;Flotte-Mèche
7;Heatran
8;Hotte-de-Fer
9;Shifours (Poing Final)
10;Bekipan
0;Hachécateur
1;Flotte-Mèche
2;Boréas (Avatar)
3;Baojian
4;Shifours (Mille Poings)
5;Dracolosse
6;Ogerpon (Masque Turquoise)
7;Paume-de-Fer
8;Gorythmic
9;Pyrax
10;Angoliath
0;Motisma (Lavage)
1;Flotte-Mèche
2;Angoliath
3;Démétéros (Totémique)
4;Cizayox (Mâle)
5;Heatran
6;Ogerpon (Masque Turquoise)
7;Paume-de-Fer
8;Boréas (Avatar)
9;Gorythmic
10;Yuyu
0;Sucreine
1;Baojian
2;Gorythmic
3;Ogerpon (Masque Turquoise)
4;Shifours (Poing Final)
5;Flotte-Mèche
6;Félicanis
7;Boréas (Avatar)
8;Shifours (Mille Poings)
9;Yuyu
10;Hotte-de-Fer
0;Electhor (Galar)
1;Gorythmic
2;Flotte-Mèche
3;Boréas (Avatar)
4;Ogerpon (Masque Turquoise)
5;Baojian
6;Shifours (Mille Poings)
7;Cresselia
8;Gromago
9;Arcanin (Hisui)
10;Démétéros (Totémique)
0;Spectreval
1;Angoliath
2;Arcanin
3;Tritosor (Mer Occident)
4;Sulfura
5;Gromago
6;Boréas (Avatar)
7;Gorythmic
8;Ogerpon (Masque Turquoise)
9;Cresselia
10;Heatran
0;Amovénus (Avatar)
1;Fulguris (Avatar)
2;Shifours (Mille Poings)
3;Angoliath
4;Baojian
5;Ogerpon (Masque Turquoise)
6;Boréas (Avatar)
7;Flotte-Mèche
8;Démétéros (Totémique)
9;Gorythmic
10;Paume-de-Fer
0;Trioxhydre
1;Flotte-Mèche
2;Paume-de-Fer
3;Ogerpon (Masque Turquoise)
4;Carchacrok (Mâle)
5;Shifours (Mille Poings)
6;Démétéros (Totémique)
7;Dracolosse
8;Cizayox (Mâle)
9;Gromago
10;Boréas (Avatar)
0;Artikodin (Galar)
1;Baojian
2;Paume-de-Fer
3;Shifours (Mille Poings)
4;Ogerpon (Masque Turquoise)
5;Gorythmic
6;Flotte-Mèche
7;Cerbyllin
8;Démétéros (Totémique)
9;Ursaking
10;Dracolosse
0;Flâmigator
1;Angoliath
2;Gorythmic
3;Palmaval
4;Boréas (Avatar)
5;Miascarade
6;Carchacrok (Mâle)
7;Tritosor (Mer Occident)
8;Dracaufeu
9;Scalpereur
10;Paume-de-Fer
0;Pyrobut
1;Flotte-Mèche
2;Boréas (Avatar)
3;Shifours (Mille Poings)
4;Paume-de-Fer
5;Gorythmic
6;Angoliath
7;Dracolosse
8;Gromago
9;Léviator (Mâle)
10;Baojian
0;Grotadmorv (Alola)
1;Scovilain
2;Flamenroule
3;Angoliath
4;Nymphali
5;Cresselia
6;Ténéfix
7;Mentali
8;Shifours (Mille Poings)
9;Wimessir (Femelle)
10;Charmina (Mâle)
0;Amphinobi
1;Flotte-Mèche
2;Boréas (Avatar)
3;Farigiraf
4;Farfurex
5;Courrousinge
6;Typhlosion (Hisui)
7;Trépassable
8;Ogerpon (Masque Turquoise)
9;Gueriaigle (Hisui)
10;Dolman
0;Aquali
1;Dracolosse
2;Flotte-Mèche
3;Nymphali
4;Bekipan
5;Angoliath
6;Baojian
7;Muplodocus (Hisui)
8;Paume-de-Fer
9;Miascarade
10;Gaulet
0;Pomdramour
1;Ogerpon (Masque Turquoise)
2;Théffroyable (Forme Médiocre)
3;Boréas (Avatar)
4;Paume-de-Fer
5;Gorythmic
6;Flotte-Mèche
7;Heatran
8;Arcanin (Hisui)
9;Shifours (Mille Poings)
10;Démétéros (Avatar)
0;Palmaval
1;Boréas (Avatar)
2;Angoliath
3;Gorythmic
4;Flâmigator
5;Flotte-Mèche
6;Pyrax
7;Dracaufeu
8;Miascarade
9;Scalpereur
10;Ogerpon (Masque Turquoise)
0;Sulfura
1;Ogerpon (Masque Turquoise)
2;Paume-de-Fer
3;Gromago
4;Angoliath
5;Shifours (Mille Poings)
6;Léviator (Mâle)
7;Gorythmic
8;Baojian
9;Flotte-Mèche
10;Artikodin (Galar)
0;Pelage-Sablé
1;Flotte-Mèche
2;Hotte-de-Fer
3;Boréas (Avatar)
4;Cléopsytra
5;Chartor
6;Wimessir (Femelle)
7;Flambusard
8;Sucreine
9;Démétéros (Avatar)
10;Yuyu
0;Gallame
1;Flotte-Mèche
2;Boréas (Avatar)
3;Angoliath
4;Wimessir (Femelle)
5;Gromago
6;Ogerpon (Masque Turquoise)
7;Heatran
8;Dracolosse
9;Démétéros (Totémique)
10;Chartor
0;Qwilpik
1;Bekipan
2;Boréas (Avatar)
3;Paragruel (Mâle)
4;Shifours (Poing Final)
5;Shifours (Mille Poings)
6;Flotte-Mèche
7;Gorythmic
8;Baojian
9;Ogerpon (Masque Turquoise)
10;Cresselia
0;Gardevoir
1;Paume-de-Fer
2;Heatran
3;Dracolosse
4;Carmadura
5;Ogerpon (Masque Turquoise)
6;Tritosor (Mer Occident)
7;Shifours (Mille Poings)
8;Gromago
9;Boréas (Avatar)
10;Carchacrok (Mâle)
0;Fulgulairo
1;Carchacrok (Mâle)
2;Flotte-Mèche
3;Dracolosse
4;Bekipan
5;Angoliath
6;Baojian
7;Gromago
8;Boréas (Avatar)
9;Tritosor (Mer Occident)
10;Cizayox (Mâle)
0;Givrali
1;Blizzaroi (Mâle)
2;Balbalèze
3;Hotte-de-Fer
4;Beldeneige
5;Artikodin
6;Flotte-Mèche
7;Charmina (Mâle)
8;Virevorreur
9;Glaivodo
10;Boréas (Avatar)
0;Noctali
1;Nymphali
2;Ogerpon (Masque Turquoise)
3;Flotte-Mèche
