"P1";"P2";"Vainqueur"
"Luxray (Mâle)";"Archéodong";"Luxray (Mâle)"
"Pingoléon";"Archéodong";"Pingoléon"
"Grodrive";"Mammochon (Mâle)";"Grodrive"
"Hippodocus (Femelle)";"Gallame";"Hippodocus (Femelle)"
"Cheniselle (Cape Sable)";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Drascore";"Dialga";"Dialga"
"Drascore";"Créfollet";"Drascore"
"Mélokrik (Femelle)";"Phione";"Phione"
"Carchacrok (Mâle)";"Gallame";"Gallame"
"Magnézone";"Coudlangue";"Magnézone"
"Simiabraz";"Togekiss";"Togekiss"
"Moufflair";"Regigigas";"Regigigas"
"Drascore";"Magnézone";"Drascore"
"Togekiss";"Darkrai";"Togekiss"
"Pachirisu (Mâle)";"Dialga";"Dialga"
"Dimoret (Mâle)";"Tarinorme";"Dimoret (Mâle)"
"Tritosor (Mer Orient)";"Darkrai";"Tritosor (Mer Orient)"
"Luxray (Mâle)";"Porygon-Z";"Luxray (Mâle)"
"Roserade (Femelle)";"Darkrai";"Roserade (Femelle)"
"Rhinastoc (Mâle)";"Shaymin (Terrestre)";"Rhinastoc (Mâle)"
"Castorno (Femelle)";"Magnézone";"Magnézone"
"Apireine";"Vortente";"Apireine"
"Tritosor (Mer Orient)";"Chaffreux";"Tritosor (Mer Orient)"
"Vortente";"Yanméga";"Yanméga"
"Mustéflott (Mâle)";"Phyllali";"Phyllali"
"Spiritomb";"Togekiss";"Spiritomb"
"Magirêve";"Giratina";"Giratina"
"Carchacrok (Mâle)";"Phyllali";"Phyllali"
"Yanméga";"Créhelf";"Yanméga"
"Papilord";"Shaymin (Terrestre)";"Papilord"
"Lockpin";"Givrali";"Givrali"
"Roserade (Femelle)";"Capidextre (Femelle)";"Roserade (Femelle)"
"Mammochon (Mâle)";"Giratina";"Giratina"
"Archéodong";"Mammochon (Mâle)";"Mammochon (Mâle)"
"Torterra";"Pijako";"Pijako"
"Mélokrik (Femelle)";"Papilord";"Papilord"
"Mélokrik (Femelle)";"Chaffreux";"Mélokrik (Femelle)"
"Togekiss";"Manaphy";"Manaphy"
"Mustéflott (Mâle)";"Yanméga";"Yanméga"
"Charkos";"Capidextre (Femelle)";"Charkos"
"Carchacrok (Mâle)";"Bouldeneu (Femelle)";"Carchacrok (Mâle)"
"Blizzaroi (Femelle)";"Giratina";"Giratina"
"Vortente";"Regigigas";"Regigigas"
"Torterra";"Créfollet";"Torterra"
"Phyllali";"Dialga";"Dialga"
"Archéodong";"Maganon";"Archéodong"
"Chaffreux";"Cresselia";"Cresselia"
"Coatox (Mâle)";"Vortente";"Coatox (Mâle)"
"Cresselia";"Darkrai";"Cresselia"
"Etouraptor (Mâle)";"Blizzaroi (Femelle)";"Blizzaroi (Femelle)"
"Archéodong";"Elekable";"Elekable"
"Pingoléon";"Mustéflott (Mâle)";"Mustéflott (Mâle)"
"Charkos";"Hippodocus (Femelle)";"Hippodocus (Femelle)"
"Luxray (Mâle)";"Corboss";"Luxray (Mâle)"
"Papilord";"Créfollet";"Papilord"
"Cheniselle (Cape Sable)";"Cresselia";"Cresselia"
"Noctunoir";"Créfollet";"Noctunoir"
"Luxray (Mâle)";"Carchacrok (Mâle)";"Luxray (Mâle)"
"Magirêve";"Yanméga";"Yanméga"
"Spiritomb";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Moufflair";"Phione";"Phione"
"Capidextre (Femelle)";"Magnézone";"Magnézone"
"Spiritomb";"Heatran";"Spiritomb"
"Chaffreux";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Phione";"Arceus (Normal)";"Arceus (Normal)"
"Elekable";"Maganon";"Elekable"
"Simiabraz";"Magirêve";"Magirêve"
"Torterra";"Giratina";"Torterra"
"Torterra";"Magnézone";"Torterra"
"Tritosor (Mer Orient)";"Noctunoir";"Tritosor (Mer Orient)"
"Castorno (Femelle)";"Maganon";"Castorno (Femelle)"
"Spiritomb";"Cresselia";"Cresselia"
"Créhelf";"Arceus (Normal)";"Arceus (Normal)"
"Simiabraz";"Lucario";"Lucario"
"Castorno (Femelle)";"Phione";"Phione"
"Créfadet";"Manaphy";"Créfadet"
"Bastiodon";"Gallame";"Gallame"
"Torterra";"Mélokrik (Femelle)";"Torterra"
"Carchacrok (Mâle)";"Coatox (Mâle)";"Coatox (Mâle)"
"Tritosor (Mer Orient)";"Lockpin";"Tritosor (Mer Orient)"
"Pachirisu (Mâle)";"Archéodong";"Pachirisu (Mâle)"
"Lucario";"Dimoret (Mâle)";"Lucario"
"Archéodong";"Yanméga";"Yanméga"
"Apireine";"Créhelf";"Créhelf"
"Papilord";"Capidextre (Femelle)";"Papilord"
"Apireine";"Phione";"Apireine"
"Bouldeneu (Femelle)";"Elekable";"Elekable"
"Bastiodon";"Capidextre (Femelle)";"Capidextre (Femelle)"
"Vortente";"Magnézone";"Magnézone"
"Moufflair";"Mammochon (Mâle)";"Mammochon (Mâle)"
"Castorno (Femelle)";"Cresselia";"Cresselia"
"Giratina";"Shaymin (Terrestre)";"Giratina"
"Apireine";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Etouraptor (Mâle)";"Charkos";"Etouraptor (Mâle)"
"Bouldeneu (Femelle)";"Scorvol";"Scorvol"
"Luminéon (Femelle)";"Phione";"Luminéon (Femelle)"
"Mammochon (Mâle)";"Heatran";"Heatran"
"Pijako";"Gallame";"Gallame"
"Archéodong";"Togekiss";"Togekiss"
"Spiritomb";"Magnézone";"Spiritomb"
"Apireine";"Moufflair";"Apireine"
"Mustéflott (Mâle)";"Coatox (Mâle)";"Mustéflott (Mâle)"
"Tarinorme";"Darkrai";"Tarinorme"
"Papilord";"Drascore";"Papilord"
"Bastiodon";"Phyllali";"Phyllali"
"Corboss";"Phione";"Phione"
"Créfollet";"Darkrai";"Darkrai"
"Roserade (Femelle)";"Maganon";"Roserade (Femelle)"
"Archéodong";"Motisma (Hélice)";"Motisma (Hélice)"
"Luxray (Mâle)";"Maganon";"Luxray (Mâle)"
"Papilord";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Dialga";"Shaymin (Terrestre)";"Dialga"
"Castorno (Femelle)";"Mammochon (Mâle)";"Mammochon (Mâle)"
"Pachirisu (Mâle)";"Momartik";"Momartik"
"Maganon";"Regigigas";"Regigigas"
"Magirêve";"Givrali";"Givrali"
"Etouraptor (Mâle)";"Lockpin";"Etouraptor (Mâle)"
"Créfadet";"Palkia";"Créfadet"
"Porygon-Z";"Regigigas";"Porygon-Z"
"Gallame";"Cresselia";"Cresselia"
"Corboss";"Lucario";"Lucario"
"Carchacrok (Mâle)";"Manaphy";"Manaphy"
"Corboss";"Créfollet";"Corboss"
"Mustéflott (Mâle)";"Noctunoir";"Mustéflott (Mâle)"
"Corboss";"Givrali";"Givrali"
"Roserade (Femelle)";"Hippodocus (Femelle)";"Roserade (Femelle)"
"Cheniselle (Cape Sable)";"Vortente";"Cheniselle (Cape Sable)"
"Pingoléon";"Noctunoir";"Noctunoir"
"Gallame";"Créhelf";"Gallame"
"Charkos";"Togekiss";"Togekiss"
"Papilord";"Créfadet";"Créfadet"
"Apireine";"Tritosor (Mer Orient)";"Tritosor (Mer Orient)"
"Charkos";"Maganon";"Charkos"
"Chaffreux";"Scorvol";"Scorvol"
"Charkos";"Vortente";"Charkos"
"Bastiodon";"Regigigas";"Regigigas"
"Lockpin";"Chaffreux";"Lockpin"
"Archéodong";"Blizzaroi (Femelle)";"Blizzaroi (Femelle)"
"Magnézone";"Giratina";"Giratina"
"Charkos";"Coudlangue";"Charkos"
"Grodrive";"Créfadet";"Créfadet"
"Elekable";"Phione";"Elekable"
"Blizzaroi (Femelle)";"Motisma (Hélice)";"Motisma (Hélice)"
"Bouldeneu (Femelle)";"Arceus (Normal)";"Arceus (Normal)"
"Pachirisu (Mâle)";"Heatran";"Pachirisu (Mâle)"
"Yanméga";"Créfollet";"Yanméga"
"Magirêve";"Darkrai";"Magirêve"
"Mélokrik (Femelle)";"Motisma (Hélice)";"Motisma (Hélice)"
"Carchacrok (Mâle)";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Créfollet";"Manaphy";"Manaphy"
"Chaffreux";"Mammochon (Mâle)";"Chaffreux"
"Tritosor (Mer Orient)";"Giratina";"Tritosor (Mer Orient)"
"Magirêve";"Noctunoir";"Noctunoir"
"Scorvol";"Phione";"Phione"
"Momartik";"Manaphy";"Momartik"
"Apireine";"Coudlangue";"Apireine"
"Mélokrik (Femelle)";"Tarinorme";"Tarinorme"
"Dimoret (Mâle)";"Heatran";"Dimoret (Mâle)"
"Torterra";"Elekable";"Elekable"
"Drascore";"Coudlangue";"Drascore"
"Pingoléon";"Dialga";"Dialga"
"Lucario";"Hippodocus (Femelle)";"Lucario"
"Porygon-Z";"Manaphy";"Porygon-Z"
"Pijako";"Coudlangue";"Pijako"
"Charkos";"Magirêve";"Magirêve"
"Magirêve";"Drascore";"Magirêve"
"Yanméga";"Cresselia";"Yanméga"
"Elekable";"Créfollet";"Elekable"
"Moufflair";"Carchacrok (Mâle)";"Carchacrok (Mâle)"
"Castorno (Femelle)";"Charkos";"Charkos"
"Créfadet";"Dialga";"Dialga"
"Lucario";"Noctunoir";"Lucario"
"Elekable";"Gallame";"Gallame"
"Tritosor (Mer Orient)";"Motisma (Hélice)";"Motisma (Hélice)"
"Mustéflott (Mâle)";"Shaymin (Terrestre)";"Mustéflott (Mâle)"
"Pijako";"Magnézone";"Pijako"
"Pingoléon";"Pijako";"Pijako"
"Tritosor (Mer Orient)";"Moufflair";"Tritosor (Mer Orient)"
"Tarinorme";"Motisma (Hélice)";"Motisma (Hélice)"
"Corboss";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Maganon";"Momartik";"Momartik"
"Chaffreux";"Arceus (Normal)";"Arceus (Normal)"
"Yanméga";"Créfadet";"Yanméga"
"Togekiss";"Mammochon (Mâle)";"Togekiss"
"Pijako";"Palkia";"Pijako"
"Pachirisu (Mâle)";"Hippodocus (Femelle)";"Hippodocus (Femelle)"
"Luminéon (Femelle)";"Heatran";"Luminéon (Femelle)"
"Coudlangue";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Coatox (Mâle)";"Manaphy";"Coatox (Mâle)"
"Magirêve";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Luxray (Mâle)";"Spiritomb";"Luxray (Mâle)"
"Hippodocus (Femelle)";"Givrali";"Hippodocus (Femelle)"
"Luminéon (Femelle)";"Mammochon (Mâle)";"Luminéon (Femelle)"
"Pingoléon";"Phyllali";"Phyllali"
"Dialga";"Phione";"Dialga"
"Coatox (Mâle)";"Créfollet";"Coatox (Mâle)"
"Papilord";"Heatran";"Papilord"
"Luxray (Mâle)";"Arceus (Normal)";"Arceus (Normal)"
"Roserade (Femelle)";"Coatox (Mâle)";"Coatox (Mâle)"
"Drascore";"Palkia";"Drascore"
"Manaphy";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Cheniselle (Cape Sable)";"Apireine";"Cheniselle (Cape Sable)"
"Luminéon (Femelle)";"Elekable";"Elekable"
"Mustéflott (Mâle)";"Darkrai";"Mustéflott (Mâle)"
"Spiritomb";"Phyllali";"Phyllali"
"Tarinorme";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Tritosor (Mer Orient)";"Coatox (Mâle)";"Tritosor (Mer Orient)"
"Spiritomb";"Hippodocus (Femelle)";"Hippodocus (Femelle)"
"Scorvol";"Dialga";"Dialga"
"Togekiss";"Regigigas";"Regigigas"
"Torterra";"Phyllali";"Phyllali"
"Mélokrik (Femelle)";"Yanméga";"Yanméga"
"Lockpin";"Maganon";"Lockpin"
"Capidextre (Femelle)";"Coudlangue";"Capidextre (Femelle)"
"Drascore";"Créhelf";"Créhelf"
"Luminéon (Femelle)";"Togekiss";"Luminéon (Femelle)"
"Roserade (Femelle)";"Givrali";"Givrali"
"Mélokrik (Femelle)";"Bastiodon";"Bastiodon"
"Motisma (Hélice)";"Arceus (Normal)";"Motisma (Hélice)"
"Capidextre (Femelle)";"Darkrai";"Darkrai"
"Torterra";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Togekiss";"Arceus (Normal)";"Arceus (Normal)"
"Vortente";"Gallame";"Gallame"
"Grodrive";"Blizzaroi (Femelle)";"Grodrive"
"Cheniselle (Cape Sable)";"Moufflair";"Cheniselle (Cape Sable)"
"Corboss";"Chaffreux";"Corboss"
"Simiabraz";"Manaphy";"Simiabraz"
"Mélokrik (Femelle)";"Gallame";"Gallame"
"Elekable";"Motisma (Hélice)";"Motisma (Hélice)"
"Mélokrik (Femelle)";"Luxray (Mâle)";"Luxray (Mâle)"
"Blizzaroi (Femelle)";"Créfadet";"Créfadet"
"Elekable";"Togekiss";"Elekable"
"Mélokrik (Femelle)";"Hippodocus (Femelle)";"Hippodocus (Femelle)"
"Corboss";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Mélokrik (Femelle)";"Phyllali";"Phyllali"
"Pingoléon";"Darkrai";"Pingoléon"
"Chaffreux";"Blizzaroi (Femelle)";"Blizzaroi (Femelle)"
"Dimoret (Mâle)";"Motisma (Hélice)";"Motisma (Hélice)"
"Pingoléon";"Elekable";"Elekable"
"Coudlangue";"Porygon-Z";"Porygon-Z"
"Chaffreux";"Elekable";"Elekable"
"Togekiss";"Gallame";"Gallame"
"Dimoret (Mâle)";"Cresselia";"Cresselia"
"Mustéflott (Mâle)";"Heatran";"Mustéflott (Mâle)"
"Hippodocus (Femelle)";"Créhelf";"Hippodocus (Femelle)"
"Tritosor (Mer Orient)";"Mammochon (Mâle)";"Tritosor (Mer Orient)"
"Rhinastoc (Mâle)";"Dialga";"Rhinastoc (Mâle)"
"Charkos";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Moufflair";"Dialga";"Dialga"
"Spiritomb";"Coudlangue";"Spiritomb"
"Hippodocus (Femelle)";"Giratina";"Hippodocus (Femelle)"
"Créfadet";"Shaymin (Terrestre)";"Créfadet"
"Bastiodon";"Porygon-Z";"Porygon-Z"
"Bastiodon";"Arceus (Normal)";"Arceus (Normal)"
"Yanméga";"Givrali";"Givrali"
"Grodrive";"Scorvol";"Scorvol"
"Etouraptor (Mâle)";"Luxray (Mâle)";"Luxray (Mâle)"
"Etouraptor (Mâle)";"Créfadet";"Créfadet"
"Créfadet";"Giratina";"Créfadet"
"Corboss";"Coatox (Mâle)";"Coatox (Mâle)"
"Chaffreux";"Motisma (Hélice)";"Motisma (Hélice)"
"Scorvol";"Cresselia";"Cresselia"
"Grodrive";"Motisma (Hélice)";"Motisma (Hélice)"
"Dimoret (Mâle)";"Coudlangue";"Dimoret (Mâle)"
"Luxray (Mâle)";"Elekable";"Luxray (Mâle)"
"Grodrive";"Manaphy";"Manaphy"
"Bastiodon";"Togekiss";"Togekiss"
"Lucario";"Scorvol";"Lucario"
"Castorno (Femelle)";"Cheniselle (Cape Sable)";"Cheniselle (Cape Sable)"
"Porygon-Z";"Dialga";"Porygon-Z"
"Magirêve";"Coudlangue";"Magirêve"
"Lockpin";"Dialga";"Dialga"
"Simiabraz";"Blizzaroi (Femelle)";"Blizzaroi (Femelle)"
"Porygon-Z";"Arceus (Normal)";"Arceus (Normal)"
"Apireine";"Motisma (Hélice)";"Motisma (Hélice)"
"Torterra";"Papilord";"Papilord"
"Pijako";"Carchacrok (Mâle)";"Pijako"
"Pingoléon";"Charkos";"Pingoléon"
"Pachirisu (Mâle)";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Hippodocus (Femelle)";"Mammochon (Mâle)";"Hippodocus (Femelle)"
"Charkos";"Lockpin";"Lockpin"
"Pingoléon";"Arceus (Normal)";"Arceus (Normal)"
"Charkos";"Tarinorme";"Tarinorme"
"Mustéflott (Mâle)";"Scorvol";"Mustéflott (Mâle)"
"Dimoret (Mâle)";"Elekable";"Dimoret (Mâle)"
"Magirêve";"Chaffreux";"Magirêve"
"Palkia";"Manaphy";"Manaphy"
"Pachirisu (Mâle)";"Coudlangue";"Pachirisu (Mâle)"
"Corboss";"Maganon";"Corboss"
"Magirêve";"Pijako";"Pijako"
"Tritosor (Mer Orient)";"Shaymin (Terrestre)";"Tritosor (Mer Orient)"
"Roserade (Femelle)";"Blizzaroi (Femelle)";"Roserade (Femelle)"
"Pijako";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Givrali";"Palkia";"Givrali"
"Hippodocus (Femelle)";"Magnézone";"Hippodocus (Femelle)"
"Pachirisu (Mâle)";"Motisma (Hélice)";"Motisma (Hélice)"
"Bastiodon";"Dialga";"Dialga"
"Lockpin";"Phione";"Phione"
"Torterra";"Chaffreux";"Torterra"
"Castorno (Femelle)";"Phyllali";"Phyllali"
"Mélokrik (Femelle)";"Regigigas";"Regigigas"
"Magnézone";"Gallame";"Gallame"
"Tritosor (Mer Orient)";"Porygon-Z";"Tritosor (Mer Orient)"
"Roserade (Femelle)";"Cresselia";"Cresselia"
"Corboss";"Coudlangue";"Corboss"
"Lucario";"Bouldeneu (Femelle)";"Lucario"
"Spiritomb";"Palkia";"Spiritomb"
"Torterra";"Pachirisu (Mâle)";"Pachirisu (Mâle)"
"Pingoléon";"Moufflair";"Pingoléon"
"Charkos";"Phyllali";"Phyllali"
"Togekiss";"Scorvol";"Scorvol"
"Togekiss";"Tarinorme";"Togekiss"
"Lockpin";"Darkrai";"Lockpin"
"Capidextre (Femelle)";"Maganon";"Capidextre (Femelle)"
"Coudlangue";"Giratina";"Giratina"
"Magirêve";"Hippodocus (Femelle)";"Magirêve"
"Lucario";"Blizzaroi (Femelle)";"Lucario"
"Magnézone";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Magnézone";"Dialga";"Dialga"
"Papilord";"Palkia";"Papilord"
"Spiritomb";"Vortente";"Spiritomb"
"Castorno (Femelle)";"Hippodocus (Femelle)";"Hippodocus (Femelle)"
"Créhelf";"Shaymin (Terrestre)";"Créhelf"
"Apireine";"Porygon-Z";"Porygon-Z"
"Mélokrik (Femelle)";"Capidextre (Femelle)";"Capidextre (Femelle)"
"Grodrive";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Roserade (Femelle)";"Momartik";"Momartik"
"Rhinastoc (Mâle)";"Noctunoir";"Rhinastoc (Mâle)"
"Pachirisu (Mâle)";"Shaymin (Terrestre)";"Pachirisu (Mâle)"
"Grodrive";"Créfollet";"Créfollet"
"Luminéon (Femelle)";"Palkia";"Luminéon (Femelle)"
"Pachirisu (Mâle)";"Tarinorme";"Pachirisu (Mâle)"
"Bastiodon";"Corboss";"Corboss"
"Bouldeneu (Femelle)";"Créfadet";"Créfadet"
"Maganon";"Créfollet";"Créfollet"
"Pingoléon";"Chaffreux";"Pingoléon"
"Tarinorme";"Dialga";"Dialga"
"Pijako";"Motisma (Hélice)";"Motisma (Hélice)"
"Coatox (Mâle)";"Motisma (Hélice)";"Motisma (Hélice)"
"Vortente";"Manaphy";"Vortente"
"Cheniselle (Cape Sable)";"Chaffreux";"Cheniselle (Cape Sable)"
"Etouraptor (Mâle)";"Bastiodon";"Etouraptor (Mâle)"
"Bouldeneu (Femelle)";"Gallame";"Gallame"
"Torterra";"Moufflair";"Torterra"
"Cheniselle (Cape Sable)";"Tritosor (Mer Orient)";"Tritosor (Mer Orient)"
"Apireine";"Mustéflott (Mâle)";"Mustéflott (Mâle)"
"Lockpin";"Créhelf";"Créhelf"
"Rhinastoc (Mâle)";"Créfadet";"Rhinastoc (Mâle)"
"Roserade (Femelle)";"Giratina";"Giratina"
"Luxray (Mâle)";"Phyllali";"Luxray (Mâle)"
"Lucario";"Mammochon (Mâle)";"Lucario"
"Roserade (Femelle)";"Pachirisu (Mâle)";"Roserade (Femelle)"
"Vortente";"Phione";"Phione"
"Lockpin";"Hippodocus (Femelle)";"Hippodocus (Femelle)"
"Drascore";"Mammochon (Mâle)";"Drascore"
"Charkos";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Carchacrok (Mâle)";"Coudlangue";"Carchacrok (Mâle)"
"Pingoléon";"Papilord";"Papilord"
"Archéodong";"Givrali";"Givrali"
"Vortente";"Cresselia";"Cresselia"
"Pachirisu (Mâle)";"Créhelf";"Créhelf"
"Créfollet";"Dialga";"Dialga"
"Grodrive";"Dialga";"Dialga"
"Dialga";"Heatran";"Dialga"
"Noctunoir";"Momartik";"Momartik"
"Pingoléon";"Giratina";"Giratina"
"Luxray (Mâle)";"Momartik";"Luxray (Mâle)"
"Papilord";"Togekiss";"Papilord"
"Simiabraz";"Darkrai";"Simiabraz"
"Torterra";"Heatran";"Torterra"
"Spiritomb";"Bouldeneu (Femelle)";"Spiritomb"
"Gallame";"Darkrai";"Gallame"
"Pachirisu (Mâle)";"Pijako";"Pijako"
"Blizzaroi (Femelle)";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Luxray (Mâle)";"Phione";"Luxray (Mâle)"
"Pijako";"Drascore";"Pijako"
"Cheniselle (Cape Sable)";"Pachirisu (Mâle)";"Pachirisu (Mâle)"
"Capidextre (Femelle)";"Motisma (Hélice)";"Motisma (Hélice)"
"Noctunoir";"Créfadet";"Créfadet"
"Tarinorme";"Créfollet";"Tarinorme"
"Pingoléon";"Coatox (Mâle)";"Coatox (Mâle)"
"Scorvol";"Arceus (Normal)";"Arceus (Normal)"
"Lucario";"Yanméga";"Yanméga"
"Grodrive";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Pachirisu (Mâle)";"Lucario";"Lucario"
"Phyllali";"Manaphy";"Phyllali"
"Magirêve";"Scorvol";"Magirêve"
"Bastiodon";"Manaphy";"Manaphy"
"Yanméga";"Phyllali";"Phyllali"
"Lockpin";"Cresselia";"Cresselia"
"Luxray (Mâle)";"Magnézone";"Luxray (Mâle)"
"Etouraptor (Mâle)";"Papilord";"Papilord"
"Blizzaroi (Femelle)";"Noctunoir";"Noctunoir"
"Torterra";"Bouldeneu (Femelle)";"Torterra"
"Luminéon (Femelle)";"Momartik";"Momartik"
"Torterra";"Grodrive";"Torterra"
"Givrali";"Tarinorme";"Givrali"
"Scorvol";"Momartik";"Momartik"
"Simiabraz";"Scorvol";"Scorvol"
"Noctunoir";"Dialga";"Dialga"
"Mélokrik (Femelle)";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Spiritomb";"Elekable";"Spiritomb"
"Corboss";"Moufflair";"Corboss"
"Hippodocus (Femelle)";"Regigigas";"Hippodocus (Femelle)"
"Tritosor (Mer Orient)";"Maganon";"Tritosor (Mer Orient)"
"Porygon-Z";"Heatran";"Porygon-Z"
"Lucario";"Manaphy";"Lucario"
