"P1";"P2";"Vainqueur"
"Cadoizo";"Entei";"Cadoizo"
"Tarpaud (Mâle)";"Caratroc";"Tarpaud (Mâle)"
"Volcaropod";"Ho-Oh";"Volcaropod"
"Xatu (Mâle)";"Kapoera";"Kapoera"
"Granbull";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Volcaropod";"Donphan (Mâle)";"Donphan (Mâle)"
"Cizayox (Femelle)";"Corayon";"Cizayox (Femelle)"
"Nostenfer";"Steelix (Mâle)";"Nostenfer"
"Fouinar";"Cotovol";"Fouinar"
"Noarfang";"Granbull";"Noarfang"
"Démolosse (Mâle)";"Celebi";"Démolosse (Mâle)"
"Azumarill";"Roigada";"Azumarill"
"Pharamp";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Cadoizo";"Queulorior";"Cadoizo"
"Aligatueur";"Qulbutoké (Mâle)";"Aligatueur"
"Kapoera";"Ho-Oh";"Ho-Oh"
"Donphan (Mâle)";"Lugia";"Lugia"
"Volcaropod";"Lugia";"Lugia"
"Tarpaud (Mâle)";"Raikou";"Tarpaud (Mâle)"
"Pharamp";"Octillery (Mâle)";"Pharamp"
"Foretress";"Raikou";"Foretress"
"Xatu (Mâle)";"Octillery (Mâle)";"Octillery (Mâle)"
"Aligatueur";"Fouinar";"Fouinar"
"Roigada";"Entei";"Entei"
"Maraiste (Mâle)";"Steelix (Mâle)";"Steelix (Mâle)"
"Noarfang";"Qulbutoké (Mâle)";"Noarfang"
"Kapoera";"Lugia";"Lugia"
"Aligatueur";"Insolourdo";"Insolourdo"
"Foretress";"Tyranocif";"Tyranocif"
"Suicune";"Ho-Oh";"Suicune"
"Mentali";"Roigada";"Mentali"
"Fouinar";"Hyporoi";"Fouinar"
"Caratroc";"Airmure";"Airmure"
"Queulorior";"Celebi";"Celebi"
"Aligatueur";"Noarfang";"Noarfang"
"Aligatueur";"Migalos";"Migalos"
"Joliflor";"Mentali";"Mentali"
"Maraiste (Mâle)";"Ecrémeuh";"Ecrémeuh"
"Steelix (Mâle)";"Hyporoi";"Hyporoi"
"Suicune";"Tyranocif";"Suicune"
"Héliatronc";"Lugia";"Lugia"
"Azumarill";"Caratroc";"Azumarill"
"Roigada";"Granbull";"Roigada"
"Tarpaud (Mâle)";"Octillery (Mâle)";"Tarpaud (Mâle)"
"Cadoizo";"Ho-Oh";"Ho-Oh"
"Noarfang";"Insolourdo";"Noarfang"
"Noarfang";"Cadoizo";"Noarfang"
"Maraiste (Mâle)";"Entei";"Entei"
"Joliflor";"Cotovol";"Joliflor"
"Insolourdo";"Ecrémeuh";"Insolourdo"
"Caratroc";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Joliflor";"Zarbi (D)";"Zarbi (D)"
"Démolosse (Mâle)";"Raikou";"Démolosse (Mâle)"
"Joliflor";"Hyporoi";"Hyporoi"
"Hyporoi";"Entei";"Hyporoi"
"Steelix (Mâle)";"Tyranocif";"Tyranocif"
"Méganium (Mâle)";"Kapoera";"Méganium (Mâle)"
"Migalos";"Kapoera";"Migalos"
"Azumarill";"Tarpaud (Mâle)";"Tarpaud (Mâle)"
"Coxyclaque (Mâle)";"Ecrémeuh";"Coxyclaque (Mâle)"
"Xatu (Mâle)";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Mentali";"Insolourdo";"Mentali"
"Kapoera";"Celebi";"Celebi"
"Tarpaud (Mâle)";"Entei";"Tarpaud (Mâle)"
"Caratroc";"Leuphorie";"Caratroc"
"Pharamp";"Caratroc";"Pharamp"
"Simularbre (Mâle)";"Leuphorie";"Simularbre (Mâle)"
"Noarfang";"Ho-Oh";"Noarfang"
"Volcaropod";"Raikou";"Volcaropod"
"Corayon";"Cadoizo";"Corayon"
"Tyranocif";"Celebi";"Celebi"
"Tarpaud (Mâle)";"Zarbi (D)";"Tarpaud (Mâle)"
"Granbull";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Typhlosion";"Cadoizo";"Typhlosion"
"Simularbre (Mâle)";"Tarpaud (Mâle)";"Tarpaud (Mâle)"
"Démanta";"Ho-Oh";"Démanta"
"Corayon";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Airmure";"Tyranocif";"Airmure"
"Zarbi (D)";"Volcaropod";"Volcaropod"
"Cizayox (Femelle)";"Lugia";"Lugia"
"Mentali";"Foretress";"Mentali"
"Fouinar";"Girafarig (Mâle)";"Fouinar"
"Maraiste (Mâle)";"Leuphorie";"Leuphorie"
"Typhlosion";"Roigada";"Roigada"
"Tyranocif";"Lugia";"Lugia"
"Queulorior";"Kapoera";"Kapoera"
"Nostenfer";"Scarhino (Mâle)";"Nostenfer"
"Airmure";"Leuphorie";"Airmure"
"Noarfang";"Cizayox (Femelle)";"Noarfang"
"Migalos";"Qulbutoké (Mâle)";"Migalos"
"Hyporoi";"Leuphorie";"Hyporoi"
"Qulbutoké (Mâle)";"Insolourdo";"Insolourdo"
"Migalos";"Cotovol";"Migalos"
"Nostenfer";"Suicune";"Suicune"
"Coxyclaque (Mâle)";"Airmure";"Airmure"
"Fouinar";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Roigada";"Ho-Oh";"Ho-Oh"
"Méganium (Mâle)";"Ecrémeuh";"Méganium (Mâle)"
"Granbull";"Qwilfish";"Qwilfish"
"Leuphorie";"Celebi";"Celebi"
"Fouinar";"Tarpaud (Mâle)";"Tarpaud (Mâle)"
"Zarbi (D)";"Airmure";"Zarbi (D)"
"Méganium (Mâle)";"Cotovol";"Méganium (Mâle)"
"Insolourdo";"Donphan (Mâle)";"Donphan (Mâle)"
"Mentali";"Airmure";"Mentali"
"Aligatueur";"Celebi";"Celebi"
"Nostenfer";"Kapoera";"Kapoera"
"Typhlosion";"Azumarill";"Typhlosion"
"Noarfang";"Nostenfer";"Nostenfer"
"Typhlosion";"Qulbutoké (Mâle)";"Typhlosion"
"Octillery (Mâle)";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Aligatueur";"Azumarill";"Aligatueur"
"Roigada";"Kapoera";"Kapoera"
"Xatu (Mâle)";"Lugia";"Lugia"
"Foretress";"Octillery (Mâle)";"Octillery (Mâle)"
"Pharamp";"Joliflor";"Pharamp"
"Coxyclaque (Mâle)";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Azumarill";"Qwilfish";"Azumarill"
"Typhlosion";"Migalos";"Migalos"
"Octillery (Mâle)";"Démanta";"Démanta"
"Lanturn";"Ecrémeuh";"Lanturn"
"Coxyclaque (Mâle)";"Queulorior";"Coxyclaque (Mâle)"
"Cadoizo";"Raikou";"Cadoizo"
"Méganium (Mâle)";"Démanta";"Méganium (Mâle)"
"Noarfang";"Zarbi (D)";"Zarbi (D)"
"Pharamp";"Airmure";"Pharamp"
"Granbull";"Suicune";"Suicune"
"Azumarill";"Octillery (Mâle)";"Azumarill"
"Roigada";"Raikou";"Raikou"
"Coxyclaque (Mâle)";"Hyporoi";"Hyporoi"
"Xatu (Mâle)";"Queulorior";"Queulorior"
"Héliatronc";"Qwilfish";"Qwilfish"
"Hyporoi";"Queulorior";"Hyporoi"
"Qulbutoké (Mâle)";"Octillery (Mâle)";"Octillery (Mâle)"
"Xatu (Mâle)";"Maraiste (Mâle)";"Xatu (Mâle)"
"Azumarill";"Granbull";"Azumarill"
"Pharamp";"Maraiste (Mâle)";"Pharamp"
"Aligatueur";"Queulorior";"Queulorior"
"Qwilfish";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Coxyclaque (Mâle)";"Tarpaud (Mâle)";"Tarpaud (Mâle)"
"Cotovol";"Noctali";"Noctali"
"Volcaropod";"Ecrémeuh";"Volcaropod"
"Migalos";"Steelix (Mâle)";"Migalos"
"Qulbutoké (Mâle)";"Volcaropod";"Volcaropod"
"Azumarill";"Démanta";"Démanta"
"Qwilfish";"Suicune";"Suicune"
"Aligatueur";"Caratroc";"Caratroc"
"Cizayox (Femelle)";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Migalos";"Queulorior";"Migalos"
"Aligatueur";"Coxyclaque (Mâle)";"Coxyclaque (Mâle)"
"Volcaropod";"Queulorior";"Volcaropod"
"Insolourdo";"Raikou";"Raikou"
"Coxyclaque (Mâle)";"Lanturn";"Lanturn"
"Lanturn";"Foretress";"Lanturn"
"Fouinar";"Caratroc";"Fouinar"
"Cotovol";"Celebi";"Celebi"
"Noarfang";"Xatu (Mâle)";"Noarfang"
"Mentali";"Celebi";"Mentali"
"Insolourdo";"Granbull";"Insolourdo"
"Lanturn";"Airmure";"Lanturn"
"Typhlosion";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Mentali";"Raikou";"Mentali"
"Steelix (Mâle)";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Cadoizo";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Noarfang";"Migalos";"Migalos"
"Caratroc";"Ho-Oh";"Ho-Oh"
"Hyporoi";"Ecrémeuh";"Hyporoi"
"Cotovol";"Donphan (Mâle)";"Donphan (Mâle)"
"Cotovol";"Qwilfish";"Cotovol"
"Zarbi (D)";"Tyranocif";"Zarbi (D)"
"Fouinar";"Nostenfer";"Fouinar"
"Zarbi (D)";"Corayon";"Zarbi (D)"
"Qwilfish";"Cadoizo";"Cadoizo"
"Xatu (Mâle)";"Girafarig (Mâle)";"Girafarig (Mâle)"
"Noarfang";"Leuphorie";"Noarfang"
"Aligatueur";"Cadoizo";"Cadoizo"
"Lanturn";"Kapoera";"Lanturn"
"Tarpaud (Mâle)";"Maraiste (Mâle)";"Tarpaud (Mâle)"
"Steelix (Mâle)";"Lugia";"Lugia"
"Typhlosion";"Noarfang";"Noarfang"
"Roigada";"Tyranocif";"Roigada"
"Steelix (Mâle)";"Corayon";"Corayon"
"Lanturn";"Zarbi (D)";"Lanturn"
"Simularbre (Mâle)";"Lugia";"Lugia"
"Mentali";"Hyporoi";"Mentali"
"Steelix (Mâle)";"Octillery (Mâle)";"Octillery (Mâle)"
"Cadoizo";"Airmure";"Cadoizo"
"Donphan (Mâle)";"Raikou";"Donphan (Mâle)"
"Coxyclaque (Mâle)";"Pharamp";"Pharamp"
"Azumarill";"Noctali";"Noctali"
"Qulbutoké (Mâle)";"Kapoera";"Kapoera"
"Qulbutoké (Mâle)";"Corayon";"Corayon"
"Raikou";"Ho-Oh";"Ho-Oh"
"Simularbre (Mâle)";"Airmure";"Airmure"
"Airmure";"Ecrémeuh";"Airmure"
"Lanturn";"Leuphorie";"Lanturn"
"Démanta";"Queulorior";"Démanta"
"Cizayox (Femelle)";"Démanta";"Cizayox (Femelle)"
"Volcaropod";"Airmure";"Volcaropod"
"Coxyclaque (Mâle)";"Migalos";"Migalos"
"Zarbi (D)";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Mentali";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Caratroc";"Octillery (Mâle)";"Caratroc"
"Démolosse (Mâle)";"Queulorior";"Démolosse (Mâle)"
"Migalos";"Maraiste (Mâle)";"Migalos"
"Girafarig (Mâle)";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Migalos";"Octillery (Mâle)";"Migalos"
"Foretress";"Entei";"Entei"
"Pharamp";"Lugia";"Lugia"
"Maraiste (Mâle)";"Mentali";"Mentali"
"Typhlosion";"Queulorior";"Typhlosion"
"Typhlosion";"Héliatronc";"Typhlosion"
"Maraiste (Mâle)";"Airmure";"Airmure"
"Leuphorie";"Tyranocif";"Tyranocif"
"Donphan (Mâle)";"Celebi";"Donphan (Mâle)"
"Migalos";"Insolourdo";"Migalos"
"Caratroc";"Corayon";"Caratroc"
"Migalos";"Hyporoi";"Migalos"
"Azumarill";"Maraiste (Mâle)";"Azumarill"
"Xatu (Mâle)";"Joliflor";"Joliflor"
"Aligatueur";"Cotovol";"Aligatueur"
"Steelix (Mâle)";"Airmure";"Airmure"
"Aligatueur";"Pharamp";"Pharamp"
"Airmure";"Hyporoi";"Airmure"
"Cotovol";"Caratroc";"Caratroc"
"Typhlosion";"Kapoera";"Kapoera"
"Nostenfer";"Girafarig (Mâle)";"Girafarig (Mâle)"
"Méganium (Mâle)";"Hyporoi";"Méganium (Mâle)"
"Noarfang";"Lanturn";"Lanturn"
"Fouinar";"Steelix (Mâle)";"Fouinar"
"Kapoera";"Entei";"Entei"
"Joliflor";"Qwilfish";"Joliflor"
"Girafarig (Mâle)";"Ho-Oh";"Girafarig (Mâle)"
"Cadoizo";"Démanta";"Démanta"
"Coxyclaque (Mâle)";"Celebi";"Celebi"
"Coxyclaque (Mâle)";"Qulbutoké (Mâle)";"Coxyclaque (Mâle)"
"Tarpaud (Mâle)";"Qwilfish";"Tarpaud (Mâle)"
"Lanturn";"Suicune";"Suicune"
"Méganium (Mâle)";"Qulbutoké (Mâle)";"Méganium (Mâle)"
"Corayon";"Démanta";"Démanta"
"Mentali";"Lugia";"Mentali"
"Nostenfer";"Tarpaud (Mâle)";"Nostenfer"
"Pharamp";"Zarbi (D)";"Zarbi (D)"
"Foretress";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Migalos";"Ecrémeuh";"Migalos"
"Octillery (Mâle)";"Raikou";"Raikou"
"Joliflor";"Caratroc";"Caratroc"
"Aligatueur";"Scarhino (Mâle)";"Scarhino (Mâle)"
"Girafarig (Mâle)";"Hyporoi";"Girafarig (Mâle)"
"Tarpaud (Mâle)";"Suicune";"Suicune"
"Coxyclaque (Mâle)";"Cotovol";"Coxyclaque (Mâle)"
"Noctali";"Caratroc";"Noctali"
"Joliflor";"Simularbre (Mâle)";"Simularbre (Mâle)"
"Migalos";"Lugia";"Migalos"
"Qulbutoké (Mâle)";"Leuphorie";"Qulbutoké (Mâle)"
"Noarfang";"Qwilfish";"Noarfang"
"Raikou";"Suicune";"Suicune"
"Héliatronc";"Noctali";"Noctali"
"Pharamp";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Girafarig (Mâle)";"Cadoizo";"Girafarig (Mâle)"
"Fouinar";"Granbull";"Fouinar"
"Migalos";"Démanta";"Migalos"
"Cadoizo";"Kapoera";"Cadoizo"
"Mentali";"Leuphorie";"Mentali"
"Simularbre (Mâle)";"Démanta";"Démanta"
"Joliflor";"Queulorior";"Queulorior"
"Girafarig (Mâle)";"Leuphorie";"Girafarig (Mâle)"
"Scarhino (Mâle)";"Lugia";"Lugia"
"Typhlosion";"Granbull";"Typhlosion"
"Azumarill";"Volcaropod";"Volcaropod"
"Zarbi (D)";"Granbull";"Zarbi (D)"
"Mentali";"Ho-Oh";"Mentali"
"Donphan (Mâle)";"Ecrémeuh";"Donphan (Mâle)"
"Insolourdo";"Caratroc";"Insolourdo"
"Azumarill";"Steelix (Mâle)";"Azumarill"
"Pharamp";"Simularbre (Mâle)";"Pharamp"
"Joliflor";"Kapoera";"Kapoera"
"Qulbutoké (Mâle)";"Lugia";"Lugia"
"Cadoizo";"Ecrémeuh";"Cadoizo"
"Maraiste (Mâle)";"Foretress";"Foretress"
"Cotovol";"Steelix (Mâle)";"Steelix (Mâle)"
"Lanturn";"Insolourdo";"Lanturn"
"Pharamp";"Hyporoi";"Hyporoi"
"Mentali";"Queulorior";"Mentali"
"Migalos";"Qwilfish";"Migalos"
"Scarhino (Mâle)";"Queulorior";"Scarhino (Mâle)"
"Scarhino (Mâle)";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Maraiste (Mâle)";"Celebi";"Celebi"
"Migalos";"Joliflor";"Migalos"
"Héliatronc";"Suicune";"Suicune"
"Volcaropod";"Hyporoi";"Volcaropod"
"Zarbi (D)";"Donphan (Mâle)";"Zarbi (D)"
"Granbull";"Corayon";"Corayon"
"Héliatronc";"Entei";"Entei"
"Joliflor";"Tyranocif";"Tyranocif"
"Migalos";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Granbull";"Caratroc";"Caratroc"
"Coxyclaque (Mâle)";"Leuphorie";"Coxyclaque (Mâle)"
"Roigada";"Suicune";"Suicune"
"Lanturn";"Corayon";"Lanturn"
"Azumarill";"Insolourdo";"Insolourdo"
"Xatu (Mâle)";"Granbull";"Xatu (Mâle)"
"Noctali";"Foretress";"Noctali"
"Simularbre (Mâle)";"Donphan (Mâle)";"Donphan (Mâle)"
"Noarfang";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Pharamp";"Cadoizo";"Cadoizo"
"Volcaropod";"Kapoera";"Kapoera"
"Qulbutoké (Mâle)";"Girafarig (Mâle)";"Girafarig (Mâle)"
"Maraiste (Mâle)";"Octillery (Mâle)";"Octillery (Mâle)"
"Queulorior";"Entei";"Queulorior"
"Nostenfer";"Insolourdo";"Nostenfer"
"Méganium (Mâle)";"Pharamp";"Méganium (Mâle)"
"Nostenfer";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Leuphorie";"Suicune";"Suicune"
"Aligatueur";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Roigada";"Corayon";"Roigada"
"Typhlosion";"Joliflor";"Typhlosion"
"Coxyclaque (Mâle)";"Nostenfer";"Nostenfer"
"Cotovol";"Roigada";"Roigada"
"Nostenfer";"Xatu (Mâle)";"Nostenfer"
"Méganium (Mâle)";"Simularbre (Mâle)";"Méganium (Mâle)"
"Corayon";"Tyranocif";"Corayon"
"Foretress";"Caratroc";"Caratroc"
"Démolosse (Mâle)";"Lugia";"Démolosse (Mâle)"
"Steelix (Mâle)";"Donphan (Mâle)";"Donphan (Mâle)"
"Héliatronc";"Ho-Oh";"Ho-Oh"
"Zarbi (D)";"Octillery (Mâle)";"Zarbi (D)"
"Simularbre (Mâle)";"Steelix (Mâle)";"Simularbre (Mâle)"
"Fouinar";"Ecrémeuh";"Fouinar"
"Tarpaud (Mâle)";"Volcaropod";"Tarpaud (Mâle)"
"Cotovol";"Airmure";"Airmure"
"Granbull";"Queulorior";"Queulorior"
"Migalos";"Granbull";"Migalos"
"Noctali";"Zarbi (D)";"Noctali"
"Fouinar";"Noctali";"Noctali"
"Noctali";"Octillery (Mâle)";"Noctali"
"Pharamp";"Queulorior";"Queulorior"
"Maraiste (Mâle)";"Suicune";"Suicune"
"Tarpaud (Mâle)";"Donphan (Mâle)";"Tarpaud (Mâle)"
"Simularbre (Mâle)";"Maraiste (Mâle)";"Simularbre (Mâle)"
"Cizayox (Femelle)";"Octillery (Mâle)";"Cizayox (Femelle)"
"Qwilfish";"Hyporoi";"Hyporoi"
"Typhlosion";"Simularbre (Mâle)";"Typhlosion"
"Typhlosion";"Donphan (Mâle)";"Typhlosion"
"Raikou";"Entei";"Raikou"
"Insolourdo";"Suicune";"Suicune"
"Caratroc";"Volcaropod";"Caratroc"
"Fouinar";"Azumarill";"Azumarill"
"Démanta";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Simularbre (Mâle)";"Ho-Oh";"Ho-Oh"
"Aligatueur";"Démanta";"Démanta"
"Xatu (Mâle)";"Celebi";"Celebi"
"Migalos";"Girafarig (Mâle)";"Migalos"
"Noarfang";"Hyporoi";"Noarfang"
"Ecrémeuh";"Suicune";"Suicune"
"Joliflor";"Foretress";"Joliflor"
"Girafarig (Mâle)";"Celebi";"Girafarig (Mâle)"
"Méganium (Mâle)";"Tyranocif";"Méganium (Mâle)"
"Pharamp";"Steelix (Mâle)";"Pharamp"
"Qwilfish";"Caratroc";"Caratroc"
"Fouinar";"Kapoera";"Kapoera"
"Azumarill";"Lugia";"Lugia"
"Fouinar";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Aligatueur";"Donphan (Mâle)";"Aligatueur"
"Simularbre (Mâle)";"Qulbutoké (Mâle)";"Simularbre (Mâle)"
"Nostenfer";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Coxyclaque (Mâle)";"Granbull";"Coxyclaque (Mâle)"
"Roigada";"Qulbutoké (Mâle)";"Roigada"
"Nostenfer";"Entei";"Entei"
"Migalos";"Lanturn";"Lanturn"
"Cotovol";"Entei";"Entei"
"Corayon";"Hyporoi";"Hyporoi"
"Lanturn";"Noctali";"Noctali"
"Steelix (Mâle)";"Ho-Oh";"Ho-Oh"
"Cotovol";"Foretress";"Foretress"
"Girafarig (Mâle)";"Donphan (Mâle)";"Girafarig (Mâle)"
"Méganium (Mâle)";"Héliatronc";"Méganium (Mâle)"
"Fouinar";"Qwilfish";"Fouinar"
"Typhlosion";"Pharamp";"Typhlosion"
"Typhlosion";"Tyranocif";"Typhlosion"
"Corayon";"Suicune";"Suicune"
"Entei";"Celebi";"Celebi"
"Roigada";"Foretress";"Roigada"
"Tarpaud (Mâle)";"Kapoera";"Kapoera"
"Tarpaud (Mâle)";"Airmure";"Tarpaud (Mâle)"
"Méganium (Mâle)";"Tarpaud (Mâle)";"Méganium (Mâle)"
"Zarbi (D)";"Démanta";"Zarbi (D)"
"Fouinar";"Joliflor";"Fouinar"
"Xatu (Mâle)";"Suicune";"Suicune"
"Cotovol";"Leuphorie";"Cotovol"
"Qulbutoké (Mâle)";"Cizayox (Femelle)";"Cizayox (Femelle)"
"Typhlosion";"Raikou";"Typhlosion"
"Xatu (Mâle)";"Donphan (Mâle)";"Donphan (Mâle)"
"Coxyclaque (Mâle)";"Octillery (Mâle)";"Coxyclaque (Mâle)"
"Azumarill";"Hyporoi";"Hyporoi"
"Corayon";"Queulorior";"Corayon"
"Azumarill";"Girafarig (Mâle)";"Girafarig (Mâle)"
"Octillery (Mâle)";"Kapoera";"Kapoera"
"Ecrémeuh";"Raikou";"Raikou"
"Raikou";"Celebi";"Celebi"
"Méganium (Mâle)";"Typhlosion";"Méganium (Mâle)"
"Lanturn";"Roigada";"Lanturn"
"Simularbre (Mâle)";"Foretress";"Simularbre (Mâle)"
"Foretress";"Hyporoi";"Hyporoi"
"Azumarill";"Entei";"Entei"
"Mentali";"Démanta";"Mentali"
"Caratroc";"Raikou";"Caratroc"
"Migalos";"Airmure";"Migalos"
"Coxyclaque (Mâle)";"Roigada";"Roigada"
"Steelix (Mâle)";"Démanta";"Démanta"
"Tarpaud (Mâle)";"Hyporoi";"Tarpaud (Mâle)"
"Zarbi (D)";"Steelix (Mâle)";"Zarbi (D)"
"Simularbre (Mâle)";"Queulorior";"Simularbre (Mâle)"
"Fouinar";"Entei";"Entei"
"Tarpaud (Mâle)";"Granbull";"Tarpaud (Mâle)"
"Méganium (Mâle)";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Migalos";"Héliatronc";"Migalos"
"Airmure";"Démolosse (Mâle)";"Démolosse (Mâle)"
"Corayon";"Kapoera";"Kapoera"
"Pharamp";"Corayon";"Corayon"
"Corayon";"Octillery (Mâle)";"Corayon"
"Girafarig (Mâle)";"Queulorior";"Girafarig (Mâle)"
"Noctali";"Corayon";"Noctali"
"Qwilfish";"Leuphorie";"Leuphorie"
"Granbull";"Kapoera";"Kapoera"
"Héliatronc";"Ecrémeuh";"Ecrémeuh"
"Maraiste (Mâle)";"Ho-Oh";"Ho-Oh"
"Simularbre (Mâle)";"Zarbi (D)";"Zarbi (D)"
"Nostenfer";"Raikou";"Nostenfer"
"Cadoizo";"Suicune";"Suicune"
