"P1";"P2";"Vainqueur"
"Gorythmic";"Torgamord";"Gorythmic"
"Limonde (Galar)";"Zarude";"Zarude"
"Duralugon";"Qwilpik";"Duralugon"
"Bekaglaçon (Tête de Gel)";"Spectreval";"Spectreval"
"Darumacho (Galar)";"Muplodocus (Hisui)";"Muplodocus (Hisui)"
"Blancoton";"Fulgudog";"Blancoton"
"Typhlosion (Hisui)";"Farfurex";"Typhlosion (Hisui)"
"Polthégeist";"Galvagla";"Galvagla"
"Smogogo (Galar)";"Roublenard";"Roublenard"
"Electhor (Galar)";"Zoroark (Hisui)";"Zoroark (Hisui)"
"Dunaconda";"Ixon";"Dunaconda"
"Arcanin (Hisui)";"Cerbyllin";"Arcanin (Hisui)"
"Clamiral (Hisui)";"Roublenard";"Clamiral (Hisui)"
"Flagadoss (Galar)";"Gueriaigle (Hisui)";"Gueriaigle (Hisui)"
"Roigada (Galar)";"Archéduc (Hisui)";"Roigada (Galar)"
"Tutétékri";"Wimessir (Mâle)";"Tutétékri"
"Beldeneige";"Hydragla";"Beldeneige"
"Monthracite";"Berserkatt";"Monthracite"
"Corvaillus";"Dolman";"Corvaillus"
"Angoliath";"Regidrago";"Regidrago"
"Moumouflon";"Galvagla";"Galvagla"
"Gueriaigle (Hisui)";"Ethernatos";"Gueriaigle (Hisui)"
"Electrode (Hisui)";"Charmilly (Lait Salé Baie en Sucre)";"Charmilly (Lait Salé Baie en Sucre)"
"Corvaillus";"Galvagla";"Corvaillus"
"Darumacho (Galar)";"Hydragla";"Hydragla"
"Ixon";"Sylveroy";"Sylveroy"
"Gorythmic";"Blancoton";"Blancoton"
"Angoliath";"Shifours (Mille Poings)";"Shifours (Mille Poings)"
"Hastacuda";"Hydragla";"Hastacuda"
"Monthracite";"Zacian (Héros Aguerri)";"Monthracite"
"Bekaglaçon (Tête de Gel)";"Ursaking";"Ursaking"
"Muplodocus (Hisui)";"Krakos";"Krakos"
"Monthracite";"M. Glaquette";"Monthracite"
"Moumouflon";"Sorcilence";"Moumouflon"
"Berserkatt";"Regidrago";"Regidrago"
"Electrode (Hisui)";"Polthégeist";"Electrode (Hisui)"
"Hastacuda";"Zacian (Héros Aguerri)";"Zacian (Héros Aguerri)"
"Electhor (Galar)";"Beldeneige";"Beldeneige"
"Pyrobut";"Hexadron";"Hexadron"
"Muplodocus (Hisui)";"Amovénus (Totémique)";"Amovénus (Totémique)"
"Sulfura (Galar)";"Zamazenta (Héros Aguerri)";"Sulfura (Galar)"
"Galopa (Galar)";"Blancoton";"Blancoton"
"Dratatin";"Paragruel (Femelle)";"Paragruel (Femelle)"
"Nigosier";"Galvagla";"Galvagla"
"Gueriaigle (Hisui)";"Qwilpik";"Gueriaigle (Hisui)"
"Ixon";"Morpeko";"Ixon"
"Clamiral (Hisui)";"Dratatin";"Clamiral (Hisui)"
"Gueriaigle (Hisui)";"Sorcilence";"Gueriaigle (Hisui)"
"Darumacho (Galar)";"Regidrago";"Regidrago"
"Roublenard";"Regidrago";"Regidrago"
"Charmilly (Lait Salé Baie en Sucre)";"Bekaglaçon (Tête de Gel)";"Charmilly (Lait Salé Baie en Sucre)"
"Electrode (Hisui)";"Roublenard";"Electrode (Hisui)"
"Séracrawl (Hisui)";"Ethernatos";"Séracrawl (Hisui)"
"Pomdrapi";"Duralugon";"Pomdrapi"
"Clamiral (Hisui)";"Zarude";"Clamiral (Hisui)"
"Polthégeist";"Regieleki";"Regieleki"
"Torgamord";"Corayôme";"Corayôme"
"Typhlosion (Hisui)";"Zacian (Héros Aguerri)";"Zacian (Héros Aguerri)"
"Blizzeval";"Hachécateur";"Blizzeval"
"Galvagon";"Farfurex";"Farfurex"
"Charmilly (Lait Salé Baie en Sucre)";"Morpeko";"Charmilly (Lait Salé Baie en Sucre)"
"Palarticho";"M. Glaquette";"Palarticho"
"Ixon";"Cerbyllin";"Ixon"
"Artikodin (Galar)";"Dunaconda";"Dunaconda"
"Roublenard";"Dratatin";"Roublenard"
"Berserkatt";"Duralugon";"Berserkatt"
"Darumacho (Galar)";"Paragruel (Femelle)";"Paragruel (Femelle)"
"Roigada (Galar)";"Muplodocus (Hisui)";"Muplodocus (Hisui)"
"Hydragon";"Cerbyllin";"Cerbyllin"
"Charmilly (Lait Salé Baie en Sucre)";"Pachyradjah";"Charmilly (Lait Salé Baie en Sucre)"
"Muplodocus (Hisui)";"Berserkatt";"Muplodocus (Hisui)"
"Pyrobut";"Ethernatos";"Pyrobut"
"Zamazenta (Héros Aguerri)";"Paragruel (Femelle)";"Zamazenta (Héros Aguerri)"
"Corayôme";"Hydragon";"Corayôme"
"Arcanin (Hisui)";"Blizzeval";"Arcanin (Hisui)"
"Rongrigou";"Zamazenta (Héros Aguerri)";"Zamazenta (Héros Aguerri)"
"Corayôme";"M. Glaquette";"Corayôme"
"Regieleki";"Sylveroy";"Regieleki"
"Dratatin";"Galvagon";"Galvagon"
"Electrode (Hisui)";"Hastacuda";"Hastacuda"
"Clamiral (Hisui)";"Hydragon";"Clamiral (Hisui)"
"Electrode (Hisui)";"Artikodin (Galar)";"Electrode (Hisui)"
"Corvaillus";"Zamazenta (Héros Aguerri)";"Corvaillus"
"Séracrawl (Hisui)";"Hexadron";"Séracrawl (Hisui)"
"Flagadoss (Galar)";"Blancoton";"Blancoton"
"Morpeko";"Cerbyllin";"Morpeko"
"Charmilly (Lait Salé Baie en Sucre)";"Cerbyllin";"Charmilly (Lait Salé Baie en Sucre)"
"Berserkatt";"Amovénus (Totémique)";"Amovénus (Totémique)"
"Krakos";"Lanssorien";"Krakos"
"Limonde (Galar)";"Polthégeist";"Polthégeist"
"Séracrawl (Hisui)";"Regidrago";"Regidrago"
"Muplodocus (Hisui)";"Corvaillus";"Corvaillus"
"Torgamord";"Hydragon";"Torgamord"
"Smogogo (Galar)";"Tutétékri";"Tutétékri"
"Corayôme";"Morpeko";"Corayôme"
"Archéduc (Hisui)";"Pomdrapi";"Pomdrapi"
"Smogogo (Galar)";"Electhor (Galar)";"Electhor (Galar)"
"Clamiral (Hisui)";"Beldeneige";"Clamiral (Hisui)"
"Torgamord";"Fulgudog";"Fulgudog"
"Rongrigou";"Paragruel (Femelle)";"Paragruel (Femelle)"
"Gorythmic";"Bekaglaçon (Tête de Gel)";"Bekaglaçon (Tête de Gel)"
"Hastacuda";"Krakos";"Hastacuda"
"Artikodin (Galar)";"Hexadron";"Hexadron"
"M. Glaquette";"Hydragon";"M. Glaquette"
"Dolman";"Pachyradjah";"Pachyradjah"
"Polthégeist";"Qwilpik";"Polthégeist"
"Darumacho (Galar)";"Limonde (Galar)";"Limonde (Galar)"
"Rongrigou";"Astronelle";"Astronelle"
"Fulgudog";"Paragruel (Femelle)";"Paragruel (Femelle)"
"Angoliath";"Lanssorien";"Lanssorien"
"Corayôme";"Sylveroy";"Corayôme"
"Charmilly (Lait Salé Baie en Sucre)";"Galvagla";"Galvagla"
"Galvagla";"Regidrago";"Regidrago"
"Palarticho";"Dolman";"Dolman"
"Lézargus";"Astronelle";"Lézargus"
"Scolocendre";"Sylveroy";"Scolocendre"
"Wattapik";"Galvagla";"Galvagla"
"Typhlosion (Hisui)";"Wattapik";"Typhlosion (Hisui)"
"Moumouflon";"Sylveroy";"Moumouflon"
"Lézargus";"Regieleki";"Regieleki"
"Sorcilence";"Morpeko";"Sorcilence"
"Ixon";"Zamazenta (Héros Aguerri)";"Zamazenta (Héros Aguerri)"
"Tutétékri";"Charmilly (Lait Salé Baie en Sucre)";"Charmilly (Lait Salé Baie en Sucre)"
"Gorythmic";"Beldeneige";"Beldeneige"
"Galopa (Galar)";"Scolocendre";"Scolocendre"
"Archéduc (Hisui)";"Regieleki";"Regieleki"
"Tutétékri";"Hachécateur";"Hachécateur"
"Hastacuda";"Sorcilence";"Hastacuda"
"Flagadoss (Galar)";"Clamiral (Hisui)";"Clamiral (Hisui)"
"Fulgudog";"Krakos";"Fulgudog"
"Archéduc (Hisui)";"Angoliath";"Archéduc (Hisui)"
"Dunaconda";"Duralugon";"Dunaconda"
"Astronelle";"Pomdrapi";"Pomdrapi"
"Electrode (Hisui)";"Beldeneige";"Beldeneige"
"Sorcilence";"Spectreval";"Spectreval"
"Monthracite";"Krakos";"Monthracite"
"Electhor (Galar)";"Charmilly (Lait Salé Baie en Sucre)";"Charmilly (Lait Salé Baie en Sucre)"
"Flagadoss (Galar)";"Farfurex";"Flagadoss (Galar)"
"Flagadoss (Galar)";"Ethernatos";"Ethernatos"
"Hachécateur";"Ursaking";"Ursaking"
"Dolman";"Ursaking";"Ursaking"
"Arcanin (Hisui)";"Charmilly (Lait Salé Baie en Sucre)";"Arcanin (Hisui)"
"Pyrobut";"Ixon";"Pyrobut"
"Flagadoss (Galar)";"Bekaglaçon (Tête de Gel)";"Flagadoss (Galar)"
"M. Glaquette";"Hydragla";"Hydragla"
"Roigada (Galar)";"Moumouflon";"Moumouflon"
"Roigada (Galar)";"Galvagon";"Roigada (Galar)"
"Electrode (Hisui)";"Astronelle";"Electrode (Hisui)"
"Hydragon";"Paragruel (Femelle)";"Paragruel (Femelle)"
"Galopa (Galar)";"Hydragon";"Galopa (Galar)"
"Wimessir (Mâle)";"Galvagon";"Galvagon"
"Zoroark (Hisui)";"Salarsen (Grave)";"Zoroark (Hisui)"
"Limonde (Galar)";"Dratatin";"Limonde (Galar)"
"Limonde (Galar)";"Paragruel (Femelle)";"Paragruel (Femelle)"
"Sorcilence";"Regidrago";"Regidrago"
"Nigosier";"Krakos";"Nigosier"
"Nigosier";"Amovénus (Totémique)";"Amovénus (Totémique)"
"Limonde (Galar)";"Corayôme";"Corayôme"
"Typhlosion (Hisui)";"Hachécateur";"Typhlosion (Hisui)"
"Nigosier";"Scolocendre";"Scolocendre"
"Arcanin (Hisui)";"Shifours (Mille Poings)";"Arcanin (Hisui)"
"Regieleki";"Blizzeval";"Regieleki"
"Regieleki";"Spectreval";"Spectreval"
"Hachécateur";"Farfurex";"Hachécateur"
"Pyrobut";"Monthracite";"Monthracite"
"Corvaillus";"Ixon";"Corvaillus"
"Roigada (Galar)";"Farfurex";"Roigada (Galar)"
"Wattapik";"Qwilpik";"Wattapik"
"Darumacho (Galar)";"Ixon";"Ixon"
"Rongrigou";"Berserkatt";"Berserkatt"
"Séracrawl (Hisui)";"Blizzeval";"Blizzeval"
"Arcanin (Hisui)";"Regidrago";"Regidrago"
"Duralugon";"Ethernatos";"Ethernatos"
"Beldeneige";"Pachyradjah";"Beldeneige"
"Smogogo (Galar)";"Farfurex";"Farfurex"
"Moumouflon";"M. Glaquette";"Moumouflon"
"Pyrobut";"Sylveroy";"Pyrobut"
"Zamazenta (Héros Aguerri)";"Zarude";"Zamazenta (Héros Aguerri)"
"Corvaillus";"Astronelle";"Corvaillus"
"Lézargus";"Hachécateur";"Lézargus"
"Monthracite";"Lanssorien";"Monthracite"
"Smogogo (Galar)";"Artikodin (Galar)";"Artikodin (Galar)"
"Hydragon";"Zarude";"Zarude"
"Monthracite";"Ethernatos";"Monthracite"
"Hydragon";"Ethernatos";"Ethernatos"
"Torgamord";"Ixon";"Ixon"
"Arcanin (Hisui)";"Hastacuda";"Arcanin (Hisui)"
"Hexadron";"Hachécateur";"Hachécateur"
"Pyrobut";"Fulgudog";"Fulgudog"
"Galopa (Galar)";"Farfurex";"Farfurex"
"Electrode (Hisui)";"Sulfura (Galar)";"Sulfura (Galar)"
"Corvaillus";"Roublenard";"Corvaillus"
"Ixon";"Regieleki";"Ixon"
"Electhor (Galar)";"Farfurex";"Electhor (Galar)"
"Typhlosion (Hisui)";"Gorythmic";"Typhlosion (Hisui)"
"Astronelle";"Monthracite";"Monthracite"
"Electrode (Hisui)";"Palarticho";"Electrode (Hisui)"
"Pomdrapi";"Nigosier";"Pomdrapi"
"Pyrobut";"Qwilpik";"Pyrobut"
"Arcanin (Hisui)";"Pachyradjah";"Arcanin (Hisui)"
"Scolocendre";"Paragruel (Femelle)";"Scolocendre"
"Moumouflon";"Amovénus (Totémique)";"Amovénus (Totémique)"
"Pomdrapi";"M. Glaquette";"Pomdrapi"
"Electrode (Hisui)";"Morpeko";"Electrode (Hisui)"
"Darumacho (Galar)";"Lézargus";"Lézargus"
"Fragilady (Hisui)";"Salarsen (Grave)";"Salarsen (Grave)"
"Roublenard";"Pomdrapi";"Pomdrapi"
"Electrode (Hisui)";"Angoliath";"Electrode (Hisui)"
"Zoroark (Hisui)";"Bekaglaçon (Tête de Gel)";"Zoroark (Hisui)"
"Angoliath";"Sylveroy";"Sylveroy"
"Smogogo (Galar)";"Séracrawl (Hisui)";"Séracrawl (Hisui)"
"Gueriaigle (Hisui)";"Salarsen (Grave)";"Gueriaigle (Hisui)"
"Gorythmic";"Palarticho";"Gorythmic"
"Dunaconda";"Palarticho";"Dunaconda"
"Muplodocus (Hisui)";"Pyrobut";"Pyrobut"
"M. Glaquette";"Ethernatos";"Ethernatos"
"Monthracite";"Charmilly (Lait Salé Baie en Sucre)";"Charmilly (Lait Salé Baie en Sucre)"
"Beldeneige";"Lanssorien";"Beldeneige"
"Astronelle";"Tutétékri";"Astronelle"
"Torgamord";"Krakos";"Krakos"
"Dratatin";"Regieleki";"Regieleki"
"Hydragla";"Regieleki";"Regieleki"
"Typhlosion (Hisui)";"Monthracite";"Typhlosion (Hisui)"
"Artikodin (Galar)";"Cerbyllin";"Artikodin (Galar)"
"Electhor (Galar)";"Archéduc (Hisui)";"Electhor (Galar)"
"Electrode (Hisui)";"Pachyradjah";"Electrode (Hisui)"
"Roigada (Galar)";"Angoliath";"Roigada (Galar)"
"Astronelle";"Dunaconda";"Dunaconda"
"Séracrawl (Hisui)";"Fulgudog";"Séracrawl (Hisui)"
"Hydragon";"Zacian (Héros Aguerri)";"Zacian (Héros Aguerri)"
"Corayôme";"Blizzeval";"Blizzeval"
"Sulfura (Galar)";"Duralugon";"Sulfura (Galar)"
"Roigada (Galar)";"Hydragla";"Roigada (Galar)"
"Blancoton";"Sorcilence";"Blancoton"
"Astronelle";"Blancoton";"Blancoton"
"Sulfura (Galar)";"Fragilady (Hisui)";"Sulfura (Galar)"
"Typhlosion (Hisui)";"Krakos";"Typhlosion (Hisui)"
"Moumouflon";"Nigosier";"Nigosier"
"Sulfura (Galar)";"Hydragon";"Sulfura (Galar)"
"Corvaillus";"Lanssorien";"Corvaillus"
"Pachyradjah";"Cerbyllin";"Pachyradjah"
"Monthracite";"Dratatin";"Monthracite"
"Roublenard";"Hastacuda";"Hastacuda"
"Arcanin (Hisui)";"Regieleki";"Arcanin (Hisui)"
"Palarticho";"Zarude";"Zarude"
"Ursaking";"Farfurex";"Ursaking"
"Limonde (Galar)";"Roublenard";"Roublenard"
"Galopa (Galar)";"Artikodin (Galar)";"Galopa (Galar)"
"Fragilady (Hisui)";"Pyrobut";"Pyrobut"
"Tutétékri";"Hydragon";"Tutétékri"
"Corvaillus";"Qwilpik";"Corvaillus"
"Monthracite";"Qwilpik";"Monthracite"
"Wattapik";"Zarude";"Zarude"
"Galopa (Galar)";"Torgamord";"Galopa (Galar)"
"Palarticho";"Wimessir (Mâle)";"Palarticho"
"Sorcilence";"Corayôme";"Corayôme"
"Smogogo (Galar)";"Roigada (Galar)";"Roigada (Galar)"
"Krakos";"Wattapik";"Wattapik"
"Lézargus";"Pomdrapi";"Pomdrapi"
"Pyrobut";"Wimessir (Mâle)";"Pyrobut"
"Hydragla";"Duralugon";"Duralugon"
"Rongrigou";"Hastacuda";"Hastacuda"
"Galvagon";"Galvagla";"Galvagla"
"Wimessir (Mâle)";"Paragruel (Femelle)";"Paragruel (Femelle)"
"Typhlosion (Hisui)";"Archéduc (Hisui)";"Typhlosion (Hisui)"
"Dunaconda";"Sylveroy";"Dunaconda"
"Arcanin (Hisui)";"Spectreval";"Spectreval"
"Muplodocus (Hisui)";"Torgamord";"Muplodocus (Hisui)"
"Electrode (Hisui)";"M. Glaquette";"Electrode (Hisui)"
"Galvagla";"Hachécateur";"Galvagla"
"Hydragon";"Spectreval";"Spectreval"
"Gorythmic";"Sorcilence";"Gorythmic"
"Dunaconda";"Regieleki";"Dunaconda"
"Clamiral (Hisui)";"Lanssorien";"Clamiral (Hisui)"
"Dolman";"Hachécateur";"Hachécateur"
"Lézargus";"Tutétékri";"Lézargus"
"Corvaillus";"Blizzeval";"Corvaillus"
"Hydragla";"Shifours (Mille Poings)";"Hydragla"
"Krakos";"Dolman";"Krakos"
"Smogogo (Galar)";"Morpeko";"Morpeko"
"Typhlosion (Hisui)";"Dunaconda";"Dunaconda"
"Arcanin (Hisui)";"Smogogo (Galar)";"Arcanin (Hisui)"
"Typhlosion (Hisui)";"Ethernatos";"Ethernatos"
"Salarsen (Grave)";"Berserkatt";"Salarsen (Grave)"
"Clamiral (Hisui)";"Polthégeist";"Clamiral (Hisui)"
"Dunaconda";"Beldeneige";"Dunaconda"
"Muplodocus (Hisui)";"Ethernatos";"Ethernatos"
"Hydragla";"Regidrago";"Regidrago"
"Gorythmic";"Regieleki";"Regieleki"
"Zoroark (Hisui)";"Gueriaigle (Hisui)";"Zoroark (Hisui)"
"Roigada (Galar)";"Amovénus (Totémique)";"Amovénus (Totémique)"
"Blancoton";"Berserkatt";"Berserkatt"
"Blancoton";"Wimessir (Mâle)";"Blancoton"
"Rongrigou";"Blizzeval";"Blizzeval"
"Galvagla";"Lanssorien";"Galvagla"
"Roigada (Galar)";"Paragruel (Femelle)";"Paragruel (Femelle)"
"Darumacho (Galar)";"Hastacuda";"Hastacuda"
"Lézargus";"Ursaking";"Ursaking"
"Galvagon";"Blizzeval";"Blizzeval"
"Galopa (Galar)";"Regidrago";"Regidrago"
"Electhor (Galar)";"Galvagon";"Electhor (Galar)"
"Polthégeist";"Spectreval";"Spectreval"
"Spectreval";"Amovénus (Totémique)";"Spectreval"
"Dunaconda";"Ethernatos";"Dunaconda"
"Séracrawl (Hisui)";"Cerbyllin";"Séracrawl (Hisui)"
"Artikodin (Galar)";"Galvagla";"Galvagla"
"Zoroark (Hisui)";"Hydragon";"Zoroark (Hisui)"
"Typhlosion (Hisui)";"Galvagla";"Galvagla"
"Astronelle";"Hydragla";"Astronelle"
"Torgamord";"Farfurex";"Farfurex"
"Roigada (Galar)";"Limonde (Galar)";"Roigada (Galar)"
"Pyrobut";"Corvaillus";"Corvaillus"
"Gueriaigle (Hisui)";"Pyrobut";"Gueriaigle (Hisui)"
"Gorythmic";"Zacian (Héros Aguerri)";"Gorythmic"
"Dunaconda";"Berserkatt";"Dunaconda"
"Spectreval";"Farfurex";"Spectreval"
"Blizzeval";"Farfurex";"Blizzeval"
"Berserkatt";"Wimessir (Mâle)";"Berserkatt"
"Sulfura (Galar)";"Qwilpik";"Sulfura (Galar)"
"Artikodin (Galar)";"Scolocendre";"Scolocendre"
"Monthracite";"Ixon";"Monthracite"
"Ixon";"Hachécateur";"Ixon"
"Corvaillus";"Fulgudog";"Corvaillus"
"Archéduc (Hisui)";"Scolocendre";"Scolocendre"
"Clamiral (Hisui)";"Shifours (Mille Poings)";"Clamiral (Hisui)"
"Polthégeist";"Regidrago";"Regidrago"
"Galopa (Galar)";"Corvaillus";"Corvaillus"
"Galopa (Galar)";"Qwilpik";"Galopa (Galar)"
"Darumacho (Galar)";"Monthracite";"Monthracite"
"Corayôme";"Wattapik";"Corayôme"
"Rongrigou";"Hachécateur";"Hachécateur"
"Dolman";"Galvagon";"Galvagon"
"Lanssorien";"Zamazenta (Héros Aguerri)";"Zamazenta (Héros Aguerri)"
"Sorcilence";"Sylveroy";"Sylveroy"
"Ixon";"Zarude";"Ixon"
"Hydragon";"Qwilpik";"Qwilpik"
"Archéduc (Hisui)";"Corayôme";"Corayôme"
"Artikodin (Galar)";"Archéduc (Hisui)";"Archéduc (Hisui)"
"Polthégeist";"Blizzeval";"Blizzeval"
"Berserkatt";"Qwilpik";"Berserkatt"
"Salarsen (Grave)";"Sylveroy";"Sylveroy"
"Pachyradjah";"Hachécateur";"Hachécateur"
"Flagadoss (Galar)";"Galvagla";"Galvagla"
"Zarude";"Cerbyllin";"Zarude"
"Pomdrapi";"Zamazenta (Héros Aguerri)";"Zamazenta (Héros Aguerri)"
"Astronelle";"Farfurex";"Farfurex"
"Galopa (Galar)";"Beldeneige";"Beldeneige"
"Arcanin (Hisui)";"Zacian (Héros Aguerri)";"Arcanin (Hisui)"
"Wattapik";"Blizzeval";"Blizzeval"
"Smogogo (Galar)";"Zacian (Héros Aguerri)";"Zacian (Héros Aguerri)"
"Scolocendre";"Farfurex";"Scolocendre"
"Ixon";"Beldeneige";"Beldeneige"
"Corvaillus";"Corayôme";"Corvaillus"
"Blancoton";"Hastacuda";"Blancoton"
"Palarticho";"Sylveroy";"Sylveroy"
"Gueriaigle (Hisui)";"Dunaconda";"Dunaconda"
"Flagadoss (Galar)";"M. Glaquette";"Flagadoss (Galar)"
"Moumouflon";"Regieleki";"Moumouflon"
"Clamiral (Hisui)";"Wimessir (Mâle)";"Clamiral (Hisui)"
"Roigada (Galar)";"Galvagla";"Galvagla"
"Clamiral (Hisui)";"Galvagla";"Clamiral (Hisui)"
"Torgamord";"Palarticho";"Torgamord"
"Electhor (Galar)";"Cerbyllin";"Electhor (Galar)"
"Palarticho";"Wattapik";"Palarticho"
"Roigada (Galar)";"Pachyradjah";"Pachyradjah"
"Tutétékri";"Zamazenta (Héros Aguerri)";"Zamazenta (Héros Aguerri)"
"Pyrobut";"Moumouflon";"Pyrobut"
"Electrode (Hisui)";"Zamazenta (Héros Aguerri)";"Zamazenta (Héros Aguerri)"
"Fragilady (Hisui)";"Lanssorien";"Lanssorien"
"Dunaconda";"Wimessir (Mâle)";"Dunaconda"
"Electhor (Galar)";"Typhlosion (Hisui)";"Electhor (Galar)"
"Hexadron";"Qwilpik";"Hexadron"
"Zoroark (Hisui)";"Fulgudog";"Zoroark (Hisui)"
"Lanssorien";"Blizzeval";"Blizzeval"
"Séracrawl (Hisui)";"Scolocendre";"Scolocendre"
"Sorcilence";"Pachyradjah";"Pachyradjah"
"Typhlosion (Hisui)";"Darumacho (Galar)";"Typhlosion (Hisui)"
"Astronelle";"Fulgudog";"Fulgudog"
"Corayôme";"Paragruel (Femelle)";"Paragruel (Femelle)"
"Moumouflon";"Lanssorien";"Moumouflon"
"Zamazenta (Héros Aguerri)";"Hachécateur";"Zamazenta (Héros Aguerri)"
"Arcanin (Hisui)";"Blancoton";"Arcanin (Hisui)"
"Typhlosion (Hisui)";"Pachyradjah";"Pachyradjah"
"Smogogo (Galar)";"Beldeneige";"Beldeneige"
"Fulgudog";"Pachyradjah";"Fulgudog"
"Morpeko";"Lanssorien";"Lanssorien"
"Lézargus";"Dolman";"Lézargus"
"Hastacuda";"Charmilly (Lait Salé Baie en Sucre)";"Charmilly (Lait Salé Baie en Sucre)"
"Monthracite";"Blizzeval";"Blizzeval"
"Salarsen (Grave)";"Duralugon";"Duralugon"
"Corvaillus";"Zarude";"Corvaillus"
"Arcanin (Hisui)";"Corvaillus";"Corvaillus"
"Muplodocus (Hisui)";"Hastacuda";"Hastacuda"
"Lanssorien";"Qwilpik";"Lanssorien"
"Electhor (Galar)";"Amovénus (Totémique)";"Amovénus (Totémique)"
"Rongrigou";"Wimessir (Mâle)";"Wimessir (Mâle)"
"Sulfura (Galar)";"Farfurex";"Sulfura (Galar)"
"Hastacuda";"Wattapik";"Hastacuda"
"Hydragla";"Lanssorien";"Lanssorien"
"Archéduc (Hisui)";"Moumouflon";"Moumouflon"
"Krakos";"Hachécateur";"Hachécateur"
"Typhlosion (Hisui)";"Séracrawl (Hisui)";"Séracrawl (Hisui)"
"Dunaconda";"Regidrago";"Dunaconda"
"Zoroark (Hisui)";"Hydragla";"Zoroark (Hisui)"
"Pyrobut";"Torgamord";"Pyrobut"
"Fulgudog";"Tutétékri";"Fulgudog"
"Krakos";"Regieleki";"Regieleki"
"Lézargus";"Blizzeval";"Blizzeval"
"Galvagon";"Sylveroy";"Sylveroy"
"Sorcilence";"Regieleki";"Regieleki"
"Lézargus";"Galvagla";"Galvagla"
"Electrode (Hisui)";"Limonde (Galar)";"Electrode (Hisui)"
"Electrode (Hisui)";"Roigada (Galar)";"Electrode (Hisui)"
"Muplodocus (Hisui)";"Charmilly (Lait Salé Baie en Sucre)";"Charmilly (Lait Salé Baie en Sucre)"
"Gueriaigle (Hisui)";"Pachyradjah";"Gueriaigle (Hisui)"
"Torgamord";"Pomdrapi";"Pomdrapi"
"Archéduc (Hisui)";"Dolman";"Archéduc (Hisui)"
"Gorythmic";"Pyrobut";"Pyrobut"
"Salarsen (Grave)";"Wattapik";"Wattapik"
"Pomdrapi";"Dolman";"Pomdrapi"
"Fragilady (Hisui)";"Fulgudog";"Fulgudog"
"Arcanin (Hisui)";"Hachécateur";"Arcanin (Hisui)"
"Fragilady (Hisui)";"Tutétékri";"Tutétékri"
"Fulgudog";"Palarticho";"Fulgudog"
"Electrode (Hisui)";"Monthracite";"Electrode (Hisui)"
"Typhlosion (Hisui)";"Gueriaigle (Hisui)";"Gueriaigle (Hisui)"
"Typhlosion (Hisui)";"Hydragla";"Typhlosion (Hisui)"
"Rongrigou";"Dunaconda";"Dunaconda"
"Torgamord";"Sorcilence";"Torgamord"
"Charmilly (Lait Salé Baie en Sucre)";"Hachécateur";"Charmilly (Lait Salé Baie en Sucre)"
"Smogogo (Galar)";"Sylveroy";"Sylveroy"
"Sulfura (Galar)";"Moumouflon";"Sulfura (Galar)"
"Corvaillus";"Duralugon";"Corvaillus"
"Darumacho (Galar)";"Torgamord";"Torgamord"
"Corvaillus";"Cerbyllin";"Corvaillus"
"Roigada (Galar)";"Lanssorien";"Roigada (Galar)"
"Zoroark (Hisui)";"Duralugon";"Zoroark (Hisui)"
"Krakos";"Hexadron";"Krakos"
