"P1";"P2";"Vainqueur"
"Sharpedo";"Séviper";"Séviper"
"Delcatty";"Négapi";"Delcatty"
"Munja";"Camérupt (Femelle)";"Munja"
"Jungko";"Galeking";"Jungko"
"Braségali (Mâle)";"Chapignon";"Chapignon"
"Groret";"Rosabyss";"Groret"
"Sharpedo";"Barbicha";"Sharpedo"
"Ludicolo (Mâle)";"Rosabyss";"Rosabyss"
"Hariyama";"Kaorine";"Kaorine"
"Séviper";"Vacilys";"Séviper"
"Laggron";"Latios";"Latios"
"Charmillon (Mâle)";"Eoko";"Charmillon (Mâle)"
"Morphéo (Blizzard)";"Rosabyss";"Morphéo (Blizzard)"
"Séviper";"Registeel";"Séviper"
"Linéon";"Groudon";"Linéon"
"Hélédelle";"Maskadra";"Hélédelle"
"Eoko";"Registeel";"Registeel"
"Chapignon";"Brouhabam";"Chapignon"
"Mysdibule";"Regice";"Mysdibule"
"Linéon";"Delcatty";"Linéon"
"Séléroc";"Barbicha";"Séléroc"
"Tengalice (Mâle)";"Vacilys";"Vacilys"
"Négapi";"Deoxys (Vitesse)";"Négapi"
"Maskadra";"Brouhabam";"Brouhabam"
"Absol";"Serpang";"Absol"
"Muciole";"Sharpedo";"Sharpedo"
"Cacturne (Femelle)";"Morphéo (Blizzard)";"Morphéo (Blizzard)"
"Groret";"Armaldo";"Groret"
"Lovdisc";"Drattak";"Drattak"
"Jungko";"Absol";"Absol"
"Wailord";"Eoko";"Wailord"
"Ludicolo (Mâle)";"Kecleon";"Kecleon"
"Delcatty";"Kecleon";"Delcatty"
"Chartor";"Serpang";"Chartor"
"Charmillon (Mâle)";"Libégon";"Libégon"
"Elecsprint";"Lumivole";"Elecsprint"
"Papinox (Mâle)";"Séléroc";"Séléroc"
"Charmillon (Mâle)";"Monaflèmit";"Charmillon (Mâle)"
"Sharpedo";"Registeel";"Registeel"
"Sharpedo";"Kaimorse";"Sharpedo"
"Munja";"Cacturne (Femelle)";"Munja"
"Barbicha";"Absol";"Absol"
"Monaflèmit";"Hariyama";"Monaflèmit"
"Cacturne (Femelle)";"Regice";"Regice"
"Brouhabam";"Jirachi";"Brouhabam"
"Séléroc";"Deoxys (Vitesse)";"Deoxys (Vitesse)"
"Linéon";"Registeel";"Linéon"
"Delcatty";"Solaroc";"Delcatty"
"Elecsprint";"Eoko";"Elecsprint"
"Lumivole";"Eoko";"Eoko"
"Lumivole";"Registeel";"Registeel"
"Sharpedo";"Kyogre";"Kyogre"
"Charmillon (Mâle)";"Colhomard";"Charmillon (Mâle)"
"Altaria";"Eoko";"Altaria"
"Munja";"Mysdibule";"Munja"
"Charmillon (Mâle)";"Delcatty";"Delcatty"
"Charmina (Mâle)";"Jirachi";"Jirachi"
"Morphéo (Blizzard)";"Latias";"Latias"
"Sharpedo";"Rayquaza";"Rayquaza"
"Mangriff";"Lovdisc";"Mangriff"
"Groret";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Wailord";"Groudon";"Wailord"
"Papinox (Mâle)";"Rayquaza";"Rayquaza"
"Bekipan";"Vacilys";"Vacilys"
"Tropius";"Groudon";"Groudon"
"Lumivole";"Avaltout (Mâle)";"Lumivole"
"Braségali (Mâle)";"Muciole";"Muciole"
"Brouhabam";"Kyogre";"Kyogre"
"Sharpedo";"Jirachi";"Jirachi"
"Séléroc";"Métalosse";"Métalosse"
"Bekipan";"Eoko";"Bekipan"
"Ténéfix";"Serpang";"Ténéfix"
"Latios";"Jirachi";"Latios"
"Solaroc";"Kaimorse";"Kaimorse"
"Hariyama";"Armaldo";"Armaldo"
"Ténéfix";"Négapi";"Négapi"
"Posipi";"Groret";"Groret"
"Chapignon";"Relicanth (Femelle)";"Chapignon"
"Gardevoir";"Chartor";"Gardevoir"
"Jungko";"Ludicolo (Mâle)";"Jungko"
"Latias";"Kyogre";"Latias"
"Brouhabam";"Spinda";"Brouhabam"
"Posipi";"Barbicha";"Posipi"
"Grahyèna";"Hariyama";"Grahyèna"
"Charmina (Mâle)";"Séviper";"Séviper"
"Papinox (Mâle)";"Solaroc";"Solaroc"
"Camérupt (Femelle)";"Spinda";"Spinda"
"Charmillon (Mâle)";"Wailord";"Wailord"
"Ninjask";"Kaimorse";"Ninjask"
"Bekipan";"Mysdibule";"Bekipan"
"Braségali (Mâle)";"Latios";"Latios"
"Libégon";"Lovdisc";"Libégon"
"Hélédelle";"Cacturne (Femelle)";"Hélédelle"
"Hariyama";"Lovdisc";"Lovdisc"
"Laggron";"Gardevoir";"Laggron"
"Maskadra";"Sharpedo";"Sharpedo"
"Papinox (Mâle)";"Munja";"Munja"
"Delcatty";"Lovdisc";"Delcatty"
"Colhomard";"Morphéo (Blizzard)";"Morphéo (Blizzard)"
"Charmillon (Mâle)";"Serpang";"Charmillon (Mâle)"
"Papinox (Mâle)";"Tengalice (Mâle)";"Papinox (Mâle)"
"Absol";"Deoxys (Vitesse)";"Absol"
"Galeking";"Camérupt (Femelle)";"Galeking"
"Linéon";"Mangriff";"Linéon"
"Séviper";"Rayquaza";"Séviper"
"Cacturne (Femelle)";"Drattak";"Drattak"
"Monaflèmit";"Tropius";"Tropius"
"Muciole";"Altaria";"Altaria"
"Branette";"Lovdisc";"Branette"
"Ludicolo (Mâle)";"Colhomard";"Ludicolo (Mâle)"
"Chapignon";"Lumivole";"Chapignon"
"Sharpedo";"Latios";"Latios"
"Chartor";"Regirock";"Chartor"
"Ténéfix";"Kaorine";"Ténéfix"
"Spinda";"Oniglali";"Oniglali"
"Grahyèna";"Séléroc";"Grahyèna"
"Ninjask";"Cacturne (Femelle)";"Ninjask"
"Hélédelle";"Oniglali";"Hélédelle"
"Cacturne (Femelle)";"Kaimorse";"Kaimorse"
"Elecsprint";"Regice";"Elecsprint"
"Registeel";"Latios";"Latios"
"Séviper";"Kyogre";"Séviper"
"Jungko";"Kaorine";"Jungko"
"Kaorine";"Vacilys";"Vacilys"
"Posipi";"Relicanth (Femelle)";"Posipi"
"Hariyama";"Chartor";"Chartor"
"Delcatty";"Registeel";"Delcatty"
"Linéon";"Relicanth (Femelle)";"Linéon"
"Vacilys";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Tengalice (Mâle)";"Munja";"Munja"
"Maskadra";"Chartor";"Chartor"
"Linéon";"Armaldo";"Linéon"
"Maskadra";"Libégon";"Libégon"
"Jungko";"Altaria";"Altaria"
"Chapignon";"Vacilys";"Chapignon"
"Lumivole";"Barbicha";"Barbicha"
"Posipi";"Kaorine";"Posipi"
"Barbicha";"Tropius";"Tropius"
"Altaria";"Jirachi";"Altaria"
"Cacturne (Femelle)";"Latias";"Latias"
"Colhomard";"Vacilys";"Vacilys"
"Monaflèmit";"Altaria";"Altaria"
"Tengalice (Mâle)";"Kaorine";"Kaorine"
"Latios";"Rayquaza";"Latios"
"Posipi";"Séviper";"Séviper"
"Latias";"Latios";"Latios"
"Ludicolo (Mâle)";"Branette";"Branette"
"Métalosse";"Regirock";"Métalosse"
"Maskadra";"Wailord";"Wailord"
"Altaria";"Registeel";"Registeel"
"Spinda";"Solaroc";"Spinda"
"Posipi";"Sharpedo";"Sharpedo"
"Muciole";"Avaltout (Mâle)";"Muciole"
"Lumivole";"Métalosse";"Métalosse"
"Grahyèna";"Ninjask";"Ninjask"
"Spinda";"Rayquaza";"Rayquaza"
"Braségali (Mâle)";"Mangriff";"Mangriff"
"Sharpedo";"Latias";"Latias"
"Camérupt (Femelle)";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Jungko";"Colhomard";"Jungko"
"Hariyama";"Galeking";"Galeking"
"Sharpedo";"Eoko";"Sharpedo"
"Charmillon (Mâle)";"Kecleon";"Kecleon"
"Linéon";"Latios";"Latios"
"Séviper";"Barbicha";"Séviper"
"Jungko";"Bekipan";"Bekipan"
"Séviper";"Serpang";"Séviper"
"Munja";"Latias";"Latias"
"Tengalice (Mâle)";"Colhomard";"Colhomard"
"Braségali (Mâle)";"Kyogre";"Kyogre"
"Avaltout (Mâle)";"Libégon";"Libégon"
"Séviper";"Colhomard";"Séviper"
"Kecleon";"Branette";"Kecleon"
"Hélédelle";"Munja";"Munja"
"Groret";"Colhomard";"Groret"
"Braségali (Mâle)";"Registeel";"Registeel"
"Laggron";"Lovdisc";"Laggron"
"Linéon";"Tropius";"Linéon"
"Muciole";"Lumivole";"Muciole"
"Munja";"Oniglali";"Munja"
"Latios";"Deoxys (Vitesse)";"Latios"
"Charmina (Mâle)";"Séléroc";"Séléroc"
"Gardevoir";"Drattak";"Drattak"
"Ténéfix";"Solaroc";"Ténéfix"
"Linéon";"Ténéfix";"Linéon"
"Galeking";"Latias";"Latias"
"Chartor";"Drattak";"Drattak"
"Braségali (Mâle)";"Armaldo";"Armaldo"
"Elecsprint";"Regirock";"Elecsprint"
"Ninjask";"Rayquaza";"Ninjask"
"Charmina (Mâle)";"Cacturne (Femelle)";"Cacturne (Femelle)"
"Papinox (Mâle)";"Bekipan";"Bekipan"
"Ténéfix";"Drattak";"Drattak"
"Négapi";"Lovdisc";"Négapi"
"Grahyèna";"Avaltout (Mâle)";"Grahyèna"
"Branette";"Jirachi";"Branette"
"Muciole";"Mangriff";"Mangriff"
"Braségali (Mâle)";"Galeking";"Braségali (Mâle)"
"Regice";"Latias";"Latias"
"Delcatty";"Elecsprint";"Delcatty"
"Ninjask";"Négapi";"Négapi"
"Chapignon";"Altaria";"Chapignon"
"Armaldo";"Regirock";"Regirock"
"Charmina (Mâle)";"Spinda";"Spinda"
"Grahyèna";"Libégon";"Libégon"
"Relicanth (Femelle)";"Drattak";"Drattak"
"Ténéfix";"Branette";"Ténéfix"
"Charmina (Mâle)";"Regirock";"Regirock"
"Hélédelle";"Spinda";"Hélédelle"
"Braségali (Mâle)";"Ninjask";"Ninjask"
"Delcatty";"Cacturne (Femelle)";"Delcatty"
"Hélédelle";"Milobellus (Femelle)";"Hélédelle"
"Charmillon (Mâle)";"Ninjask";"Ninjask"
"Papinox (Mâle)";"Kecleon";"Kecleon"
"Posipi";"Lovdisc";"Posipi"
"Grahyèna";"Deoxys (Vitesse)";"Grahyèna"
"Charmillon (Mâle)";"Deoxys (Vitesse)";"Charmillon (Mâle)"
"Ninjask";"Jirachi";"Ninjask"
"Séviper";"Groudon";"Séviper"
"Gardevoir";"Regirock";"Regirock"
"Chapignon";"Latios";"Latios"
"Laggron";"Altaria";"Laggron"
"Brouhabam";"Serpang";"Brouhabam"
"Chartor";"Tropius";"Tropius"
"Maskadra";"Barbicha";"Maskadra"
"Wailord";"Vacilys";"Wailord"
"Ludicolo (Mâle)";"Munja";"Munja"
"Chartor";"Altaria";"Altaria"
"Mangriff";"Relicanth (Femelle)";"Relicanth (Femelle)"
"Négapi";"Morphéo (Blizzard)";"Morphéo (Blizzard)"
"Bekipan";"Cacturne (Femelle)";"Cacturne (Femelle)"
"Hélédelle";"Jirachi";"Hélédelle"
"Négapi";"Latios";"Latios"
"Chapignon";"Solaroc";"Chapignon"
"Séléroc";"Kaimorse";"Kaimorse"
"Sharpedo";"Chartor";"Sharpedo"
"Altaria";"Mangriff";"Altaria"
"Wailord";"Kecleon";"Wailord"
"Papinox (Mâle)";"Kaimorse";"Kaimorse"
"Ludicolo (Mâle)";"Kaorine";"Kaorine"
"Négapi";"Kaimorse";"Négapi"
"Chartor";"Latios";"Latios"
"Bekipan";"Morphéo (Blizzard)";"Morphéo (Blizzard)"
"Maskadra";"Relicanth (Femelle)";"Relicanth (Femelle)"
"Milobellus (Femelle)";"Métalosse";"Métalosse"
"Monaflèmit";"Armaldo";"Armaldo"
"Serpang";"Latios";"Latios"
"Grahyèna";"Latias";"Latias"
"Monaflèmit";"Métalosse";"Métalosse"
"Armaldo";"Branette";"Armaldo"
"Spinda";"Kaimorse";"Kaimorse"
"Laggron";"Mysdibule";"Laggron"
"Wailord";"Registeel";"Registeel"
"Solaroc";"Jirachi";"Jirachi"
"Charmina (Mâle)";"Vacilys";"Vacilys"
"Avaltout (Mâle)";"Latios";"Latios"
"Armaldo";"Métalosse";"Métalosse"
"Négapi";"Muciole";"Négapi"
"Grahyèna";"Séviper";"Séviper"
"Jungko";"Jirachi";"Jungko"
"Papinox (Mâle)";"Wailord";"Wailord"
"Morphéo (Blizzard)";"Drattak";"Morphéo (Blizzard)"
"Tengalice (Mâle)";"Hariyama";"Hariyama"
"Monaflèmit";"Registeel";"Registeel"
"Ludicolo (Mâle)";"Elecsprint";"Elecsprint"
"Barbicha";"Kaimorse";"Kaimorse"
"Braségali (Mâle)";"Lumivole";"Braségali (Mâle)"
"Munja";"Hariyama";"Munja"
"Colhomard";"Regirock";"Regirock"
"Ténéfix";"Kyogre";"Kyogre"
"Solaroc";"Armaldo";"Solaroc"
"Ténéfix";"Cacturne (Femelle)";"Ténéfix"
"Brouhabam";"Kecleon";"Kecleon"
"Branette";"Rayquaza";"Rayquaza"
"Posipi";"Milobellus (Femelle)";"Milobellus (Femelle)"
"Brouhabam";"Morphéo (Blizzard)";"Morphéo (Blizzard)"
"Tengalice (Mâle)";"Kyogre";"Kyogre"
"Linéon";"Serpang";"Linéon"
"Munja";"Séléroc";"Munja"
"Papinox (Mâle)";"Spinda";"Spinda"
"Laggron";"Hariyama";"Laggron"
"Ludicolo (Mâle)";"Chartor";"Chartor"
"Cacturne (Femelle)";"Serpang";"Cacturne (Femelle)"
"Chartor";"Séléroc";"Chartor"
"Ninjask";"Mangriff";"Ninjask"
"Laggron";"Vacilys";"Vacilys"
"Kecleon";"Rosabyss";"Kecleon"
"Delcatty";"Armaldo";"Delcatty"
"Mysdibule";"Serpang";"Mysdibule"
"Charmillon (Mâle)";"Papinox (Mâle)";"Charmillon (Mâle)"
"Maskadra";"Latias";"Latias"
