"P1";"P2";"Vainqueur"
"Minotaupe";"Boréas (Totémique)";"Boréas (Totémique)"
"Karaclée";"Neitram";"Neitram"
"Majaspic";"Pashmilla";"Pashmilla"
"Rhinolove";"Pyrax";"Pyrax"
"Clamiral";"Ohmassacre";"Clamiral"
"Victini";"Limaspeed";"Victini"
"Mastouffe";"Lugulabre";"Lugulabre"
"Fermite";"Meloetta (Chant)";"Meloetta (Chant)"
"Démétéros (Totémique)";"Kyurem";"Démétéros (Totémique)"
"Crapustule";"Brutapode";"Brutapode"
"Limaspeed";"Frison";"Limaspeed"
"Cobaltium";"Reshiram";"Reshiram"
"Vaututrice";"Fermite";"Vaututrice"
"Bétochef";"Trioxhydre";"Trioxhydre"
"Gaulet";"Moyade (Mâle)";"Moyade (Mâle)"
"Zéblitz";"Mamanbo";"Zéblitz"
"Bargantua (Motif Rouge)";"Lakmécygne";"Lakmécygne"
"Moyade (Mâle)";"Fermite";"Moyade (Mâle)"
"Pashmilla";"Gaulet";"Pashmilla"
"Bétochef";"Meloetta (Chant)";"Bétochef"
"Roitiflam";"Mégapagos";"Mégapagos"
"Mastouffe";"Moyade (Mâle)";"Mastouffe"
"Gigalithe";"Golemastoc";"Gigalithe"
"Nanméouïe";"Cliticlic";"Cliticlic"
"Crabaraque";"Limonde";"Crabaraque"
"Zéblitz";"Terrakium";"Zéblitz"
"Gaulet";"Meloetta (Chant)";"Meloetta (Chant)"
"Clamiral";"Shaofouine";"Clamiral"
"Lançargot";"Meloetta (Chant)";"Lançargot"
"Cliticlic";"Hexagel";"Cliticlic"
"Lugulabre";"Trioxhydre";"Trioxhydre"
"Déflaisan (Mâle)";"Gaulet";"Déflaisan (Mâle)"
"Symbios";"Gueriaigle";"Gueriaigle"
"Mégapagos";"Meloetta (Chant)";"Mégapagos"
"Maracachi";"Sorbouboul";"Maracachi"
"Scalproie";"Boréas (Totémique)";"Scalproie"
"Sidérella";"Kyurem";"Kyurem"
"Clamiral";"Boréas (Totémique)";"Clamiral"
"Crapustule";"Tutankafer";"Tutankafer"
"Mastouffe";"Bétochef";"Mastouffe"
"Tutankafer";"Genesect (Normal)";"Genesect (Normal)"
"Zoroark";"Symbios";"Zoroark"
"Gaulet";"Tranchodon";"Tranchodon"
"Cobaltium";"Fulguris (Totémique)";"Cobaltium"
"Judokrak";"Polagriffe";"Judokrak"
"Lugulabre";"Limonde";"Lugulabre"
"Tutankafer";"Démétéros (Totémique)";"Démétéros (Totémique)"
"Victini";"Karaclée";"Victini"
"Judokrak";"Lançargot";"Lançargot"
"Minotaupe";"Ohmassacre";"Ohmassacre"
"Déflaisan (Mâle)";"Reshiram";"Reshiram"
"Miradar";"Kyurem";"Kyurem"
"Polagriffe";"Vaututrice";"Vaututrice"
"Reshiram";"Keldeo (Décidé)";"Reshiram"
"Judokrak";"Cliticlic";"Cliticlic"
"Haydaim (Hiver)";"Mygavolt";"Haydaim (Hiver)"
"Gigalithe";"Bétochef";"Gigalithe"
"Sorbouboul";"Reshiram";"Reshiram"
"Viridium";"Fulguris (Totémique)";"Viridium"
"Crabaraque";"Zoroark";"Zoroark"
"Miasmax";"Haydaim (Hiver)";"Haydaim (Hiver)"
"Majaspic";"Fragilady";"Majaspic"
"Emolga";"Zekrom";"Zekrom"
"Victini";"Zéblitz";"Zéblitz"
"Gigalithe";"Drakkarmin";"Gigalithe"
"Clamiral";"Minotaupe";"Clamiral"
"Farfaduvet";"Trioxhydre";"Trioxhydre"
"Mushana";"Crocorible";"Mushana"
"Crocorible";"Kyurem";"Crocorible"
"Cliticlic";"Limaspeed";"Cliticlic"
"Miradar";"Lugulabre";"Lugulabre"
"Majaspic";"Nanméouïe";"Majaspic"
"Hexagel";"Kyurem";"Kyurem"
"Gigalithe";"Terrakium";"Gigalithe"
"Terrakium";"Fulguris (Totémique)";"Terrakium"
"Manternel";"Pyrax";"Pyrax"
"Lugulabre";"Viridium";"Viridium"
"Neitram";"Tranchodon";"Tranchodon"
"Haydaim (Hiver)";"Genesect (Normal)";"Haydaim (Hiver)"
"Tutankafer";"Terrakium";"Terrakium"
"Symbios";"Vaututrice";"Symbios"
"Tutankafer";"Emolga";"Emolga"
"Karaclée";"Tranchodon";"Tranchodon"
"Flotoutan";"Baggaïd";"Baggaïd"
"Moyade (Mâle)";"Golemastoc";"Golemastoc"
"Crapustule";"Symbios";"Symbios"
"Brutapode";"Maracachi";"Brutapode"
"Fragilady";"Trioxhydre";"Trioxhydre"
"Crapustule";"Lakmécygne";"Lakmécygne"
"Mushana";"Gueriaigle";"Gueriaigle"
"Mushana";"Neitram";"Neitram"
"Limaspeed";"Fulguris (Totémique)";"Limaspeed"
"Baggaïd";"Cliticlic";"Cliticlic"
"Victini";"Gaulet";"Victini"
"Haydaim (Hiver)";"Vaututrice";"Haydaim (Hiver)"
"Miradar";"Fulguris (Totémique)";"Fulguris (Totémique)"
"Brutapode";"Trioxhydre";"Brutapode"
"Noacier";"Genesect (Normal)";"Noacier"
"Roitiflam";"Minotaupe";"Roitiflam"
"Roitiflam";"Lakmécygne";"Lakmécygne"
"Mushana";"Tutankafer";"Tutankafer"
"Minotaupe";"Polagriffe";"Polagriffe"
"Crapustule";"Limonde";"Limonde"
"Zoroark";"Lançargot";"Lançargot"
"Nanméouïe";"Manternel";"Manternel"
"Maracachi";"Drakkarmin";"Maracachi"
"Aéroptéryx";"Vaututrice";"Aéroptéryx"
"Miasmax";"Limaspeed";"Limaspeed"
"Drakkarmin";"Reshiram";"Reshiram"
"Pashmilla";"Neitram";"Pashmilla"
"Sidérella";"Aflamanoir";"Aflamanoir"
"Moyade (Mâle)";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Tranchodon";"Reshiram";"Tranchodon"
"Fragilady";"Fulguris (Totémique)";"Fulguris (Totémique)"
"Mamanbo";"Mygavolt";"Mygavolt"
"Léopardus";"Moyade (Mâle)";"Léopardus"
"Judokrak";"Karaclée";"Karaclée"
"Crocorible";"Maracachi";"Maracachi"
"Minotaupe";"Reshiram";"Reshiram"
"Bargantua (Motif Rouge)";"Vaututrice";"Vaututrice"
"Mushana";"Trioxhydre";"Trioxhydre"
"Darumacho";"Reshiram";"Reshiram"
"Farfaduvet";"Symbios";"Symbios"
"Cryptéro";"Fermite";"Cryptéro"
"Crapustule";"Crabaraque";"Crabaraque"
"Maracachi";"Fermite";"Maracachi"
"Miasmax";"Sidérella";"Miasmax"
"Pashmilla";"Scalproie";"Pashmilla"
"Lançargot";"Boréas (Totémique)";"Lançargot"
"Feuiloutan";"Brutapode";"Brutapode"
"Judokrak";"Fragilady";"Fragilady"
"Symbios";"Trioxhydre";"Trioxhydre"
"Léopardus";"Drakkarmin";"Léopardus"
"Flamoutan";"Ohmassacre";"Ohmassacre"
"Judokrak";"Gaulet";"Judokrak"
"Vaututrice";"Pyrax";"Pyrax"
"Nanméouïe";"Crocorible";"Nanméouïe"
"Ohmassacre";"Kyurem";"Ohmassacre"
"Flamoutan";"Lakmécygne";"Lakmécygne"
"Rhinolove";"Genesect (Normal)";"Genesect (Normal)"
"Kyurem";"Meloetta (Chant)";"Kyurem"
"Gigalithe";"Shaofouine";"Gigalithe"
"Karaclée";"Tutankafer";"Tutankafer"
"Manternel";"Crabaraque";"Crabaraque"
"Aéroptéryx";"Keldeo (Décidé)";"Aéroptéryx"
"Zéblitz";"Keldeo (Décidé)";"Zéblitz"
"Déflaisan (Mâle)";"Cryptéro";"Cryptéro"
"Léopardus";"Mamanbo";"Léopardus"
"Neitram";"Golemastoc";"Golemastoc"
"Darumacho";"Viridium";"Viridium"
"Nanméouïe";"Lançargot";"Lançargot"
"Haydaim (Hiver)";"Golemastoc";"Haydaim (Hiver)"
"Bargantua (Motif Rouge)";"Ohmassacre";"Bargantua (Motif Rouge)"
"Flamoutan";"Cryptéro";"Cryptéro"
"Bargantua (Motif Rouge)";"Moyade (Mâle)";"Bargantua (Motif Rouge)"
"Majaspic";"Kyurem";"Majaspic"
"Zoroark";"Frison";"Zoroark"
"Karaclée";"Mamanbo";"Karaclée"
"Rhinolove";"Cliticlic";"Cliticlic"
"Roitiflam";"Rhinolove";"Rhinolove"
"Léopardus";"Noacier";"Noacier"
"Flotoutan";"Terrakium";"Terrakium"
"Cryptéro";"Démétéros (Totémique)";"Cryptéro"
"Mushana";"Moyade (Mâle)";"Mushana"
"Karaclée";"Aéroptéryx";"Aéroptéryx"
"Cliticlic";"Drakkarmin";"Cliticlic"
"Zéblitz";"Sorbouboul";"Zéblitz"
"Sidérella";"Pyrax";"Pyrax"
"Majaspic";"Neitram";"Majaspic"
"Miasmax";"Scalproie";"Miasmax"
"Tutankafer";"Cliticlic";"Cliticlic"
"Miasmax";"Shaofouine";"Shaofouine"
"Miradar";"Maracachi";"Maracachi"
"Farfaduvet";"Pashmilla";"Pashmilla"
"Karaclée";"Viridium";"Viridium"
"Majaspic";"Miradar";"Majaspic"
"Zéblitz";"Farfaduvet";"Zéblitz"
"Flamoutan";"Meloetta (Chant)";"Meloetta (Chant)"
"Feuiloutan";"Lançargot";"Lançargot"
"Miradar";"Fermite";"Fermite"
"Flotoutan";"Limonde";"Limonde"
"Mygavolt";"Reshiram";"Mygavolt"
"Baggaïd";"Mamanbo";"Mamanbo"
"Tutankafer";"Lugulabre";"Lugulabre"
"Sidérella";"Frison";"Frison"
"Mygavolt";"Neitram";"Mygavolt"
"Haydaim (Hiver)";"Mamanbo";"Haydaim (Hiver)"
"Fermite";"Kyurem";"Kyurem"
"Baggaïd";"Limonde";"Limonde"
"Fragilady";"Baggaïd";"Baggaïd"
"Flamoutan";"Boréas (Totémique)";"Boréas (Totémique)"
"Noacier";"Viridium";"Viridium"
"Fulguris (Totémique)";"Genesect (Normal)";"Genesect (Normal)"
"Rhinolove";"Reshiram";"Reshiram"
"Pashmilla";"Sorbouboul";"Pashmilla"
"Minotaupe";"Fragilady";"Fragilady"
"Rhinolove";"Neitram";"Rhinolove"
"Mastouffe";"Baggaïd";"Baggaïd"
"Zéblitz";"Judokrak";"Zéblitz"
"Aéroptéryx";"Neitram";"Aéroptéryx"
"Mygavolt";"Terrakium";"Mygavolt"
"Crabaraque";"Fulguris (Totémique)";"Crabaraque"
"Sidérella";"Lugulabre";"Lugulabre"
"Fragilady";"Démétéros (Totémique)";"Démétéros (Totémique)"
"Baggaïd";"Haydaim (Hiver)";"Haydaim (Hiver)"
"Crabaraque";"Drakkarmin";"Crabaraque"
"Bétochef";"Gueriaigle";"Gueriaigle"
"Bétochef";"Lugulabre";"Lugulabre"
"Feuiloutan";"Symbios";"Symbios"
"Léopardus";"Aéroptéryx";"Aéroptéryx"
"Darumacho";"Vaututrice";"Vaututrice"
"Mushana";"Karaclée";"Mushana"
"Farfaduvet";"Crabaraque";"Crabaraque"
"Zéblitz";"Golemastoc";"Zéblitz"
"Gaulet";"Genesect (Normal)";"Genesect (Normal)"
"Léopardus";"Mygavolt";"Mygavolt"
"Gigalithe";"Boréas (Totémique)";"Gigalithe"
"Aéroptéryx";"Frison";"Aéroptéryx"
"Tutankafer";"Limaspeed";"Tutankafer"
"Bétochef";"Baggaïd";"Baggaïd"
"Judokrak";"Démétéros (Totémique)";"Démétéros (Totémique)"
"Bargantua (Motif Rouge)";"Noacier";"Noacier"
"Manternel";"Ohmassacre";"Manternel"
"Fragilady";"Pyrax";"Pyrax"
"Bargantua (Motif Rouge)";"Pashmilla";"Pashmilla"
"Nanméouïe";"Scalproie";"Scalproie"
"Roitiflam";"Aéroptéryx";"Aéroptéryx"
"Majaspic";"Mygavolt";"Majaspic"
"Rhinolove";"Moyade (Mâle)";"Rhinolove"
"Emolga";"Terrakium";"Emolga"
"Maracachi";"Noacier";"Maracachi"
"Bargantua (Motif Rouge)";"Haydaim (Hiver)";"Haydaim (Hiver)"
"Farfaduvet";"Emolga";"Emolga"
"Baggaïd";"Tutankafer";"Tutankafer"
"Pashmilla";"Genesect (Normal)";"Pashmilla"
"Majaspic";"Bétochef";"Majaspic"
"Pyrax";"Fulguris (Totémique)";"Pyrax"
"Victini";"Pyrax";"Pyrax"
"Pashmilla";"Lançargot";"Pashmilla"
"Gaulet";"Viridium";"Viridium"
"Majaspic";"Meloetta (Chant)";"Majaspic"
"Bétochef";"Judokrak";"Bétochef"
"Flamoutan";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Crabaraque";"Sidérella";"Crabaraque"
"Bétochef";"Karaclée";"Bétochef"
"Mushana";"Bargantua (Motif Rouge)";"Mushana"
"Crocorible";"Shaofouine";"Shaofouine"
"Roitiflam";"Zéblitz";"Zéblitz"
"Zéblitz";"Noacier";"Zéblitz"
"Roitiflam";"Genesect (Normal)";"Genesect (Normal)"
"Ohmassacre";"Vaututrice";"Vaututrice"
"Cobaltium";"Kyurem";"Cobaltium"
"Mushana";"Démétéros (Totémique)";"Mushana"
"Bargantua (Motif Rouge)";"Symbios";"Symbios"
"Miradar";"Baggaïd";"Baggaïd"
"Zoroark";"Polagriffe";"Zoroark"
"Maracachi";"Scalproie";"Maracachi"
"Cryptéro";"Sorbouboul";"Cryptéro"
"Vaututrice";"Démétéros (Totémique)";"Démétéros (Totémique)"
"Majaspic";"Flamoutan";"Majaspic"
"Cryptéro";"Cliticlic";"Cliticlic"
"Zéblitz";"Limonde";"Zéblitz"
"Judokrak";"Tutankafer";"Tutankafer"
"Darumacho";"Genesect (Normal)";"Genesect (Normal)"
"Moyade (Mâle)";"Mygavolt";"Mygavolt"
"Sidérella";"Drakkarmin";"Drakkarmin"
"Lakmécygne";"Vaututrice";"Vaututrice"
"Lançargot";"Noacier";"Noacier"
"Karaclée";"Sorbouboul";"Sorbouboul"
"Déflaisan (Mâle)";"Vaututrice";"Vaututrice"
"Drakkarmin";"Meloetta (Chant)";"Drakkarmin"
"Emolga";"Scalproie";"Emolga"
"Darumacho";"Miasmax";"Darumacho"
"Nanméouïe";"Drakkarmin";"Drakkarmin"
"Fragilady";"Gaulet";"Fragilady"
"Mastouffe";"Léopardus";"Léopardus"
"Crabaraque";"Shaofouine";"Shaofouine"
"Gueriaigle";"Genesect (Normal)";"Gueriaigle"
"Fragilady";"Viridium";"Viridium"
"Rhinolove";"Frison";"Rhinolove"
"Mastouffe";"Flotoutan";"Mastouffe"
"Fragilady";"Aéroptéryx";"Aéroptéryx"
"Bétochef";"Cobaltium";"Cobaltium"
"Lugulabre";"Aflamanoir";"Lugulabre"
"Gueriaigle";"Zekrom";"Gueriaigle"
"Boréas (Totémique)";"Fulguris (Totémique)";"Fulguris (Totémique)"
"Brutapode";"Fragilady";"Brutapode"
"Gaulet";"Noacier";"Noacier"
"Cryptéro";"Meloetta (Chant)";"Cryptéro"
"Victini";"Cobaltium";"Victini"
"Mastouffe";"Golemastoc";"Golemastoc"
"Mushana";"Fermite";"Mushana"
"Neitram";"Limaspeed";"Neitram"
"Ohmassacre";"Gueriaigle";"Gueriaigle"
"Flotoutan";"Crocorible";"Flotoutan"
"Crocorible";"Cliticlic";"Cliticlic"
"Mastouffe";"Gaulet";"Mastouffe"
"Miradar";"Limaspeed";"Limaspeed"
"Karaclée";"Crabaraque";"Crabaraque"
"Rhinolove";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Frison";"Démétéros (Totémique)";"Démétéros (Totémique)"
"Maracachi";"Hexagel";"Maracachi"
"Karaclée";"Frison";"Frison"
"Zéblitz";"Manternel";"Zéblitz"
"Tutankafer";"Golemastoc";"Golemastoc"
"Gigalithe";"Crocorible";"Gigalithe"
"Gigalithe";"Frison";"Gigalithe"
"Karaclée";"Brutapode";"Brutapode"
"Haydaim (Hiver)";"Viridium";"Haydaim (Hiver)"
"Clamiral";"Genesect (Normal)";"Clamiral"
"Léopardus";"Mushana";"Léopardus"
"Karaclée";"Sidérella";"Karaclée"
"Tutankafer";"Aflamanoir";"Tutankafer"
"Miradar";"Tranchodon";"Tranchodon"
"Haydaim (Hiver)";"Aflamanoir";"Haydaim (Hiver)"
"Zéblitz";"Aflamanoir";"Zéblitz"
"Majaspic";"Mastouffe";"Majaspic"
"Bargantua (Motif Rouge)";"Meloetta (Chant)";"Bargantua (Motif Rouge)"
"Déflaisan (Mâle)";"Crabaraque";"Déflaisan (Mâle)"
"Farfaduvet";"Sorbouboul";"Farfaduvet"
"Darumacho";"Aflamanoir";"Darumacho"
"Gueriaigle";"Cobaltium";"Gueriaigle"
"Crabaraque";"Sorbouboul";"Crabaraque"
"Majaspic";"Rhinolove";"Majaspic"
"Baggaïd";"Trioxhydre";"Trioxhydre"
"Victini";"Trioxhydre";"Trioxhydre"
"Neitram";"Aflamanoir";"Neitram"
"Clamiral";"Pyrax";"Clamiral"
"Nanméouïe";"Viridium";"Viridium"
"Déflaisan (Mâle)";"Gueriaigle";"Gueriaigle"
"Vaututrice";"Viridium";"Viridium"
"Feuiloutan";"Sidérella";"Feuiloutan"
"Miasmax";"Ohmassacre";"Miasmax"
"Clamiral";"Karaclée";"Clamiral"
"Judokrak";"Viridium";"Viridium"
"Cliticlic";"Vaututrice";"Cliticlic"
"Flamoutan";"Nanméouïe";"Nanméouïe"
"Shaofouine";"Kyurem";"Shaofouine"
"Mastouffe";"Crocorible";"Mastouffe"
"Majaspic";"Brutapode";"Majaspic"
"Crocorible";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Lugulabre";"Fermite";"Lugulabre"
"Limonde";"Aflamanoir";"Aflamanoir"
"Crabaraque";"Hexagel";"Crabaraque"
"Judokrak";"Darumacho";"Darumacho"
"Sidérella";"Lançargot";"Lançargot"
"Symbios";"Scalproie";"Symbios"
"Rhinolove";"Judokrak";"Rhinolove"
"Crabaraque";"Mamanbo";"Crabaraque"
"Cryptéro";"Symbios";"Cryptéro"
"Léopardus";"Karaclée";"Léopardus"
"Miasmax";"Lançargot";"Lançargot"
"Crabaraque";"Aéroptéryx";"Aéroptéryx"
"Bargantua (Motif Rouge)";"Cliticlic";"Cliticlic"
"Neitram";"Genesect (Normal)";"Neitram"
"Gigalithe";"Moyade (Mâle)";"Gigalithe"
"Bétochef";"Limonde";"Bétochef"
"Brutapode";"Ohmassacre";"Brutapode"
"Aéroptéryx";"Reshiram";"Reshiram"
"Clamiral";"Keldeo (Décidé)";"Clamiral"
"Majaspic";"Maracachi";"Majaspic"
"Rhinolove";"Ohmassacre";"Rhinolove"
"Miasmax";"Démétéros (Totémique)";"Démétéros (Totémique)"
"Flamoutan";"Lançargot";"Lançargot"
"Darumacho";"Lançargot";"Lançargot"
"Pashmilla";"Lugulabre";"Pashmilla"
"Emolga";"Cobaltium";"Emolga"
"Mégapagos";"Lançargot";"Lançargot"
"Roitiflam";"Terrakium";"Terrakium"
"Boréas (Totémique)";"Zekrom";"Zekrom"
"Kyurem";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Shaofouine";"Aflamanoir";"Shaofouine"
"Lugulabre";"Hexagel";"Lugulabre"
"Maracachi";"Cryptéro";"Maracachi"
"Sidérella";"Emolga";"Emolga"
"Mastouffe";"Keldeo (Décidé)";"Keldeo (Décidé)"
"Fermite";"Genesect (Normal)";"Genesect (Normal)"
"Fragilady";"Limonde";"Fragilady"
"Frison";"Trioxhydre";"Trioxhydre"
"Mégapagos";"Symbios";"Mégapagos"
"Rhinolove";"Limaspeed";"Rhinolove"
"Emolga";"Tranchodon";"Tranchodon"
"Pashmilla";"Lakmécygne";"Pashmilla"
"Tranchodon";"Shaofouine";"Tranchodon"
"Aéroptéryx";"Fermite";"Aéroptéryx"
"Brutapode";"Symbios";"Brutapode"
"Lakmécygne";"Tranchodon";"Tranchodon"
"Minotaupe";"Cliticlic";"Cliticlic"
"Flamoutan";"Darumacho";"Darumacho"
"Darumacho";"Limonde";"Darumacho"
"Tranchodon";"Keldeo (Décidé)";"Tranchodon"
"Polagriffe";"Trioxhydre";"Trioxhydre"
"Tutankafer";"Fermite";"Tutankafer"
"Majaspic";"Bargantua (Motif Rouge)";"Majaspic"
"Noacier";"Démétéros (Totémique)";"Noacier"
"Golemastoc";"Aflamanoir";"Golemastoc"
"Mastouffe";"Hexagel";"Hexagel"
"Clamiral";"Farfaduvet";"Clamiral"
"Crapustule";"Haydaim (Hiver)";"Haydaim (Hiver)"
