"P1";"P2";"Vainqueur"
"Rubombelle";"Météno (Météore)";"Météno (Météore)"
"Triopikeur (Alola)";"Ossatueur (Alola)";"Ossatueur (Alola)"
"Draïeul";"Magearna";"Magearna"
"Lampignon";"Mimiqui";"Mimiqui"
"Lougaroc (Crépusculaire)";"Boumata";"Lougaroc (Crépusculaire)"
"Félinferno";"Tokorico";"Tokorico"
"Froussardine (Solitaire)";"Chelours";"Froussardine (Solitaire)"
"Félinferno";"Gouroutan";"Félinferno"
"Rattatac (Alola)";"Sarmuraï";"Sarmuraï"
"Plumeline (Buyo)";"Marshadow";"Marshadow"
"Concombaffe";"Bamboiselle";"Concombaffe"
"Tarenbulle";"Trépassable";"Tarenbulle"
"Plumeline (Buyo)";"Sinistrail";"Plumeline (Buyo)"
"Noadkoko (Alola)";"Tarenbulle";"Noadkoko (Alola)"
"Ossatueur (Alola)";"Câblifère";"Câblifère"
"Félinferno";"Lougaroc (Crépusculaire)";"Lougaroc (Crépusculaire)"
"Félinferno";"Mouscoto";"Félinferno"
"Météno (Météore)";"Katagami";"Météno (Météore)"
"Oratoria";"Concombaffe";"Concombaffe"
"Lucanon";"Tokopiyon";"Lucanon"
"Katagami";"Marshadow";"Marshadow"
"Gouroutan";"Quartermac";"Quartermac"
"Météno (Météore)";"Magearna";"Météno (Météore)"
"Sablaireau (Alola)";"Magearna";"Sablaireau (Alola)"
"Guérilande";"Ekaïser";"Guérilande"
"Rattatac (Alola)";"Mouscoto";"Mouscoto"
"Rubombelle";"Tokorico";"Tokorico"
"Malamandre";"Mouscoto";"Mouscoto"
"Froussardine (Solitaire)";"Prédastérie";"Froussardine (Solitaire)"
"Grolem (Alola)";"Chelours";"Grolem (Alola)"
"Persian (Alola)";"Mouscoto";"Mouscoto"
"Gouroutan";"Cancrelove";"Cancrelove"
"Quartermac";"Boumata";"Quartermac"
"Archéduc";"Félinferno";"Archéduc"
"Lunala";"Câblifère";"Lunala"
"Floramantis";"Concombaffe";"Floramantis"
"Argouste";"Plumeline (Buyo)";"Plumeline (Buyo)"
"Froussardine (Solitaire)";"Lampignon";"Froussardine (Solitaire)"
"Lucanon";"Mouscoto";"Mouscoto"
"Félinferno";"Oratoria";"Oratoria"
"Feunard (Alola)";"Concombaffe";"Feunard (Alola)"
"Tarenbulle";"Zéroïd";"Zéroïd"
"Rattatac (Alola)";"Tokorico";"Tokorico"
"Ossatueur (Alola)";"Concombaffe";"Ossatueur (Alola)"
"Triopikeur (Alola)";"Lampignon";"Lampignon"
"Raichu (Alola)";"Lunala";"Lunala"
"Félinferno";"Quartermac";"Quartermac"
"Bourrinos";"Tokopiyon";"Tokopiyon"
"Rattatac (Alola)";"Sablaireau (Alola)";"Sablaireau (Alola)"
"Archéduc";"Plumeline (Buyo)";"Archéduc"
"Dodoala";"Marshadow";"Marshadow"
"Noadkoko (Alola)";"Katagami";"Noadkoko (Alola)"
"Bazoucan";"Mouscoto";"Bazoucan"
"Togedemaru";"Katagami";"Katagami"
"Quartermac";"Cancrelove";"Quartermac"
"Concombaffe";"Tokopisco";"Tokopisco"
"Grotadmorv (Alola)";"Zéroïd";"Zéroïd"
"Rubombelle";"Cancrelove";"Cancrelove"
"Triopikeur (Alola)";"Grolem (Alola)";"Grolem (Alola)"
"Floramantis";"Câblifère";"Floramantis"
"Feunard (Alola)";"Tokopisco";"Feunard (Alola)"
"Dodoala";"Lunala";"Lunala"
"Persian (Alola)";"Floramantis";"Floramantis"
"Bazoucan";"Magearna";"Bazoucan"
"Plumeline (Buyo)";"Katagami";"Plumeline (Buyo)"
"Froussardine (Solitaire)";"Zéroïd";"Zéroïd"
"Tokopiyon";"Tokotoro";"Tokopiyon"
"Noadkoko (Alola)";"Câblifère";"Câblifère"
"Raichu (Alola)";"Noadkoko (Alola)";"Noadkoko (Alola)"
"Rattatac (Alola)";"Trépassable";"Trépassable"
"Sucreine";"Engloutyran";"Sucreine"
"Sablaireau (Alola)";"Guérilande";"Sablaireau (Alola)"
"Togedemaru";"Tokorico";"Tokorico"
"Ossatueur (Alola)";"Necrozma";"Ossatueur (Alola)"
"Lunala";"Cancrelove";"Lunala"
"Plumeline (Buyo)";"Togedemaru";"Plumeline (Buyo)"
"Tokotoro";"Solgaleo";"Solgaleo"
"Grolem (Alola)";"Grotadmorv (Alola)";"Grolem (Alola)"
"Sablaireau (Alola)";"Lunala";"Lunala"
"Lunala";"Mouscoto";"Lunala"
"Triopikeur (Alola)";"Gouroutan";"Gouroutan"
"Archéduc";"Mimiqui";"Archéduc"
"Feunard (Alola)";"Argouste";"Feunard (Alola)"
"Mimiqui";"Cancrelove";"Cancrelove"
"Lampignon";"Sarmuraï";"Sarmuraï"
"Persian (Alola)";"Zéroïd";"Zéroïd"
"Oratoria";"Rubombelle";"Rubombelle"
"Félinferno";"Froussardine (Solitaire)";"Froussardine (Solitaire)"
"Grotadmorv (Alola)";"Tokopisco";"Tokopisco"
"Chelours";"Tokopiyon";"Tokopiyon"
"Silvallié";"Marshadow";"Marshadow"
"Boumata";"Tokorico";"Tokorico"
"Gouroutan";"Magearna";"Magearna"
"Boumata";"Denticrisse";"Boumata"
"Sablaireau (Alola)";"Câblifère";"Sablaireau (Alola)"
"Bazoucan";"Mimiqui";"Bazoucan"
"Sucreine";"Tokorico";"Tokorico"
"Grolem (Alola)";"Lucanon";"Lucanon"
"Sucreine";"Denticrisse";"Sucreine"
"Lampignon";"Denticrisse";"Lampignon"
"Lunala";"Marshadow";"Marshadow"
"Félinferno";"Sucreine";"Félinferno"
"Félinferno";"Engloutyran";"Félinferno"
"Grolem (Alola)";"Tokopiyon";"Tokopiyon"
"Silvallié";"Togedemaru";"Silvallié"
"Félinferno";"Solgaleo";"Solgaleo"
"Sinistrail";"Lunala";"Lunala"
"Togedemaru";"Bamboiselle";"Togedemaru"
"Persian (Alola)";"Ekaïser";"Ekaïser"
"Trépassable";"Bamboiselle";"Trépassable"
"Argouste";"Zéroïd";"Zéroïd"
"Feunard (Alola)";"Tarenbulle";"Feunard (Alola)"
"Tokopiyon";"Tokopisco";"Tokopisco"
"Archéduc";"Tokopiyon";"Archéduc"
"Lucanon";"Froussardine (Solitaire)";"Froussardine (Solitaire)"
"Rubombelle";"Mouscoto";"Mouscoto"
"Lucanon";"Tokorico";"Lucanon"
"Rattatac (Alola)";"Feunard (Alola)";"Feunard (Alola)"
"Grolem (Alola)";"Oratoria";"Oratoria"
"Sucreine";"Tokotoro";"Tokotoro"
"Ekaïser";"Bamboiselle";"Ekaïser"
"Lucanon";"Lunala";"Lucanon"
"Guérilande";"Sarmuraï";"Sarmuraï"
"Gouroutan";"Tokopisco";"Tokopisco"
"Bazoucan";"Lucanon";"Lucanon"
"Lampignon";"Sucreine";"Sucreine"
"Plumeline (Buyo)";"Sucreine";"Sucreine"
"Lougaroc (Crépusculaire)";"Guérilande";"Lougaroc (Crépusculaire)"
"Argouste";"Solgaleo";"Solgaleo"
"Grotadmorv (Alola)";"Gouroutan";"Gouroutan"
"Tarenbulle";"Draïeul";"Tarenbulle"
"Météno (Météore)";"Tokorico";"Météno (Météore)"
"Quartermac";"Katagami";"Quartermac"
"Persian (Alola)";"Météno (Météore)";"Météno (Météore)"
"Lougaroc (Crépusculaire)";"Denticrisse";"Lougaroc (Crépusculaire)"
"Gouroutan";"Tokotoro";"Gouroutan"
"Solgaleo";"Mouscoto";"Solgaleo"
"Trépassable";"Engloutyran";"Trépassable"
"Tarenbulle";"Malamandre";"Malamandre"
"Argouste";"Mimiqui";"Mimiqui"
"Sarmuraï";"Marshadow";"Marshadow"
"Sablaireau (Alola)";"Denticrisse";"Sablaireau (Alola)"
"Archéduc";"Marshadow";"Marshadow"
"Ossatueur (Alola)";"Tokorico";"Ossatueur (Alola)"
"Trépassable";"Marshadow";"Marshadow"
"Archéduc";"Câblifère";"Archéduc"
"Lucanon";"Ekaïser";"Lucanon"
"Bazoucan";"Solgaleo";"Solgaleo"
"Lougaroc (Crépusculaire)";"Zéroïd";"Lougaroc (Crépusculaire)"
"Persian (Alola)";"Sarmuraï";"Sarmuraï"
"Sucreine";"Sarmuraï";"Sarmuraï"
"Bourrinos";"Dodoala";"Dodoala"
"Prédastérie";"Trépassable";"Trépassable"
"Dodoala";"Draïeul";"Dodoala"
"Sablaireau (Alola)";"Boumata";"Sablaireau (Alola)"
"Zéroïd";"Mouscoto";"Mouscoto"
"Grotadmorv (Alola)";"Ekaïser";"Ekaïser"
"Silvallié";"Tokopisco";"Silvallié"
"Silvallié";"Mimiqui";"Silvallié"
"Bazoucan";"Prédastérie";"Bazoucan"
"Triopikeur (Alola)";"Argouste";"Argouste"
"Feunard (Alola)";"Prédastérie";"Feunard (Alola)"
"Rattatac (Alola)";"Tokotoro";"Tokotoro"
"Sinistrail";"Tokotoro";"Sinistrail"
"Bourrinos";"Floramantis";"Floramantis"
"Grotadmorv (Alola)";"Sarmuraï";"Sarmuraï"
"Froussardine (Solitaire)";"Tokorico";"Froussardine (Solitaire)"
"Raichu (Alola)";"Mimiqui";"Raichu (Alola)"
"Dodoala";"Togedemaru";"Dodoala"
"Lougaroc (Crépusculaire)";"Sucreine";"Lougaroc (Crépusculaire)"
"Lampignon";"Togedemaru";"Togedemaru"
"Tokopisco";"Cancrelove";"Tokopisco"
"Sinistrail";"Necrozma";"Sinistrail"
"Félinferno";"Magearna";"Félinferno"
"Denticrisse";"Draïeul";"Denticrisse"
"Ekaïser";"Lunala";"Lunala"
"Sablaireau (Alola)";"Grotadmorv (Alola)";"Sablaireau (Alola)"
"Chelours";"Câblifère";"Câblifère"
"Grolem (Alola)";"Tokotoro";"Tokotoro"
"Floramantis";"Solgaleo";"Solgaleo"
"Boumata";"Bamboiselle";"Boumata"
"Archéduc";"Bourrinos";"Archéduc"
"Boumata";"Tokopisco";"Tokopisco"
"Triopikeur (Alola)";"Prédastérie";"Prédastérie"
"Lucanon";"Prédastérie";"Lucanon"
"Chelours";"Guérilande";"Guérilande"
"Raichu (Alola)";"Câblifère";"Câblifère"
"Triopikeur (Alola)";"Rubombelle";"Rubombelle"
"Solgaleo";"Marshadow";"Marshadow"
"Rubombelle";"Tarenbulle";"Rubombelle"
"Malamandre";"Silvallié";"Silvallié"
"Argouste";"Denticrisse";"Argouste"
"Prédastérie";"Malamandre";"Prédastérie"
"Lampignon";"Trépassable";"Trépassable"
"Prédastérie";"Tokopiyon";"Prédastérie"
"Togedemaru";"Lunala";"Lunala"
"Ossatueur (Alola)";"Engloutyran";"Ossatueur (Alola)"
"Archéduc";"Togedemaru";"Archéduc"
"Concombaffe";"Marshadow";"Marshadow"
"Prédastérie";"Katagami";"Katagami"
"Météno (Météore)";"Togedemaru";"Météno (Météore)"
"Oratoria";"Guérilande";"Guérilande"
"Silvallié";"Mouscoto";"Silvallié"
"Persian (Alola)";"Mimiqui";"Mimiqui"
"Raichu (Alola)";"Zéroïd";"Zéroïd"
"Archéduc";"Silvallié";"Archéduc"
"Noadkoko (Alola)";"Bourrinos";"Noadkoko (Alola)"
"Bourrinos";"Silvallié";"Silvallié"
"Triopikeur (Alola)";"Archéduc";"Archéduc"
"Lunala";"Necrozma";"Lunala"
"Mimiqui";"Magearna";"Mimiqui"
"Météno (Météore)";"Tokotoro";"Météno (Météore)"
"Bourrinos";"Météno (Météore)";"Météno (Météore)"
"Sarmuraï";"Ekaïser";"Sarmuraï"
"Rattatac (Alola)";"Lucanon";"Lucanon"
"Grotadmorv (Alola)";"Engloutyran";"Engloutyran"
"Feunard (Alola)";"Tokotoro";"Feunard (Alola)"
"Prédastérie";"Sucreine";"Sucreine"
"Floramantis";"Guérilande";"Floramantis"
"Triopikeur (Alola)";"Tokotoro";"Tokotoro"
"Floramantis";"Sarmuraï";"Floramantis"
"Tokopisco";"Lunala";"Tokopisco"
"Plumeline (Buyo)";"Necrozma";"Plumeline (Buyo)"
"Draïeul";"Tokopiyon";"Tokopiyon"
"Noadkoko (Alola)";"Zéroïd";"Zéroïd"
"Argouste";"Tokopiyon";"Tokopiyon"
"Concombaffe";"Necrozma";"Concombaffe"
"Persian (Alola)";"Bourrinos";"Bourrinos"
"Sucreine";"Concombaffe";"Sucreine"
"Tokopiyon";"Bamboiselle";"Tokopiyon"
"Météno (Météore)";"Cancrelove";"Météno (Météore)"
"Rattatac (Alola)";"Oratoria";"Oratoria"
"Argouste";"Gouroutan";"Gouroutan"
"Grotadmorv (Alola)";"Lougaroc (Crépusculaire)";"Lougaroc (Crépusculaire)"
"Solgaleo";"Bamboiselle";"Solgaleo"
"Froussardine (Solitaire)";"Bamboiselle";"Froussardine (Solitaire)"
"Rattatac (Alola)";"Katagami";"Katagami"
"Bourrinos";"Mimiqui";"Mimiqui"
"Mimiqui";"Bamboiselle";"Mimiqui"
"Bazoucan";"Trépassable";"Bazoucan"
"Félinferno";"Bazoucan";"Félinferno"
"Grotadmorv (Alola)";"Tarenbulle";"Tarenbulle"
"Lougaroc (Crépusculaire)";"Marshadow";"Lougaroc (Crépusculaire)"
"Ossatueur (Alola)";"Solgaleo";"Solgaleo"
"Silvallié";"Bamboiselle";"Silvallié"
"Oratoria";"Tokorico";"Tokorico"
"Sarmuraï";"Mouscoto";"Sarmuraï"
"Feunard (Alola)";"Tokopiyon";"Feunard (Alola)"
"Oratoria";"Togedemaru";"Oratoria"
"Dodoala";"Tokopisco";"Tokopisco"
"Draïeul";"Solgaleo";"Solgaleo"
"Bamboiselle";"Marshadow";"Marshadow"
"Félinferno";"Bamboiselle";"Félinferno"
"Engloutyran";"Necrozma";"Necrozma"
"Rattatac (Alola)";"Denticrisse";"Rattatac (Alola)"
"Grotadmorv (Alola)";"Dodoala";"Grotadmorv (Alola)"
"Lampignon";"Quartermac";"Quartermac"
"Floramantis";"Engloutyran";"Floramantis"
"Grolem (Alola)";"Lougaroc (Crépusculaire)";"Lougaroc (Crépusculaire)"
"Oratoria";"Floramantis";"Oratoria"
"Cancrelove";"Bamboiselle";"Bamboiselle"
"Félinferno";"Lunala";"Lunala"
"Oratoria";"Katagami";"Oratoria"
"Silvallié";"Météno (Météore)";"Silvallié"
"Ossatueur (Alola)";"Zéroïd";"Ossatueur (Alola)"
"Lucanon";"Météno (Météore)";"Météno (Météore)"
"Feunard (Alola)";"Plumeline (Buyo)";"Feunard (Alola)"
"Tokorico";"Cancrelove";"Tokorico"
"Prédastérie";"Magearna";"Magearna"
"Tokotoro";"Mouscoto";"Mouscoto"
"Floramantis";"Katagami";"Floramantis"
"Silvallié";"Lunala";"Lunala"
"Silvallié";"Solgaleo";"Solgaleo"
"Chelours";"Silvallié";"Silvallié"
"Prédastérie";"Guérilande";"Prédastérie"
"Ossatueur (Alola)";"Prédastérie";"Ossatueur (Alola)"
"Triopikeur (Alola)";"Sinistrail";"Sinistrail"
"Ossatueur (Alola)";"Archéduc";"Ossatueur (Alola)"
"Grolem (Alola)";"Archéduc";"Archéduc"
"Lampignon";"Engloutyran";"Lampignon"
"Ossatueur (Alola)";"Mouscoto";"Ossatueur (Alola)"
"Ossatueur (Alola)";"Bamboiselle";"Ossatueur (Alola)"
"Triopikeur (Alola)";"Plumeline (Buyo)";"Plumeline (Buyo)"
"Lougaroc (Crépusculaire)";"Météno (Météore)";"Lougaroc (Crépusculaire)"
"Bazoucan";"Cancrelove";"Bazoucan"
"Sinistrail";"Marshadow";"Marshadow"
"Raichu (Alola)";"Grotadmorv (Alola)";"Grotadmorv (Alola)"
"Persian (Alola)";"Froussardine (Solitaire)";"Froussardine (Solitaire)"
"Noadkoko (Alola)";"Bazoucan";"Noadkoko (Alola)"
"Bazoucan";"Sinistrail";"Sinistrail"
"Draïeul";"Câblifère";"Câblifère"
"Gouroutan";"Ekaïser";"Gouroutan"
"Archéduc";"Argouste";"Archéduc"
"Ossatueur (Alola)";"Denticrisse";"Ossatueur (Alola)"
"Raichu (Alola)";"Solgaleo";"Solgaleo"
"Boumata";"Magearna";"Boumata"
"Rattatac (Alola)";"Lunala";"Lunala"
"Trépassable";"Silvallié";"Silvallié"
"Feunard (Alola)";"Félinferno";"Feunard (Alola)"
"Raichu (Alola)";"Bazoucan";"Raichu (Alola)"
"Raichu (Alola)";"Feunard (Alola)";"Feunard (Alola)"
"Météno (Météore)";"Draïeul";"Météno (Météore)"
"Raichu (Alola)";"Boumata";"Raichu (Alola)"
"Persian (Alola)";"Tarenbulle";"Tarenbulle"
"Plumeline (Buyo)";"Lampignon";"Lampignon"
"Chelours";"Dodoala";"Dodoala"
"Triopikeur (Alola)";"Togedemaru";"Togedemaru"
"Bourrinos";"Bamboiselle";"Bourrinos"
"Noadkoko (Alola)";"Archéduc";"Archéduc"
"Trépassable";"Denticrisse";"Trépassable"
"Raichu (Alola)";"Sucreine";"Raichu (Alola)"
"Plumeline (Buyo)";"Quartermac";"Quartermac"
"Raichu (Alola)";"Tokorico";"Tokorico"
"Lougaroc (Crépusculaire)";"Trépassable";"Lougaroc (Crépusculaire)"
"Quartermac";"Tokotoro";"Quartermac"
"Triopikeur (Alola)";"Oratoria";"Oratoria"
"Froussardine (Solitaire)";"Bourrinos";"Froussardine (Solitaire)"
"Rattatac (Alola)";"Lougaroc (Crépusculaire)";"Lougaroc (Crépusculaire)"
"Archéduc";"Lampignon";"Archéduc"
"Plumeline (Buyo)";"Magearna";"Plumeline (Buyo)"
"Tokopisco";"Engloutyran";"Tokopisco"
"Togedemaru";"Marshadow";"Marshadow"
"Rubombelle";"Quartermac";"Quartermac"
"Rattatac (Alola)";"Bazoucan";"Bazoucan"
"Oratoria";"Cancrelove";"Oratoria"
"Silvallié";"Tokopiyon";"Silvallié"
"Sucreine";"Trépassable";"Sucreine"
"Rattatac (Alola)";"Gouroutan";"Gouroutan"
"Malamandre";"Marshadow";"Marshadow"
"Triopikeur (Alola)";"Lougaroc (Crépusculaire)";"Lougaroc (Crépusculaire)"
"Sablaireau (Alola)";"Gouroutan";"Sablaireau (Alola)"
"Félinferno";"Sinistrail";"Félinferno"
"Rattatac (Alola)";"Tokopisco";"Tokopisco"
"Félinferno";"Boumata";"Félinferno"
"Triopikeur (Alola)";"Câblifère";"Câblifère"
"Triopikeur (Alola)";"Sarmuraï";"Sarmuraï"
"Lucanon";"Câblifère";"Lucanon"
"Persian (Alola)";"Tokorico";"Tokorico"
"Tokopisco";"Mouscoto";"Tokopisco"
"Sablaireau (Alola)";"Solgaleo";"Solgaleo"
"Grolem (Alola)";"Zéroïd";"Zéroïd"
"Sarmuraï";"Denticrisse";"Sarmuraï"
"Tokopiyon";"Necrozma";"Necrozma"
"Ekaïser";"Tokorico";"Tokorico"
"Tarenbulle";"Tokorico";"Tokorico"
"Lucanon";"Plumeline (Buyo)";"Lucanon"
"Archéduc";"Katagami";"Archéduc"
"Prédastérie";"Bamboiselle";"Prédastérie"
"Concombaffe";"Lunala";"Lunala"
"Rattatac (Alola)";"Météno (Météore)";"Météno (Météore)"
"Plumeline (Buyo)";"Trépassable";"Plumeline (Buyo)"
"Grotadmorv (Alola)";"Floramantis";"Floramantis"
"Lucanon";"Sarmuraï";"Sarmuraï"
"Lucanon";"Concombaffe";"Lucanon"
"Plumeline (Buyo)";"Météno (Météore)";"Météno (Météore)"
"Bourrinos";"Cancrelove";"Cancrelove"
"Météno (Météore)";"Solgaleo";"Solgaleo"
"Noadkoko (Alola)";"Silvallié";"Silvallié"
"Félinferno";"Floramantis";"Floramantis"
"Floramantis";"Cancrelove";"Floramantis"
"Togedemaru";"Necrozma";"Necrozma"
"Félinferno";"Mimiqui";"Mimiqui"
"Concombaffe";"Ekaïser";"Concombaffe"
"Concombaffe";"Zéroïd";"Zéroïd"
"Raichu (Alola)";"Lougaroc (Crépusculaire)";"Lougaroc (Crépusculaire)"
"Dodoala";"Mouscoto";"Mouscoto"
"Argouste";"Ekaïser";"Ekaïser"
