Numéro;Nom;Forme;Principale;Génération;Evolue;Sprite;Type.1;Type.2;PV;ATT;DEF;SATT;SDEF;VIT;Talent.1;Talent.2;Talent.3;Talent.caché;Talent.caché.2;Name;Poids;Taille;Taux.de.capture;Reproduction.1;Reproduction.2;Eclosion;Taux.mâles;Gain.exp;Espèce;EV;Sous.évolution;Violet;Team;Interdit;Pokemon
12;Papilusion;Femelle;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/butterfree-f.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Papilusion (Femelle)
12;Papilusion;Gigamax;0;8;FALSE;https://img.pokemondb.net/sprites/home/normal/butterfree-gigantamax.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Papilusion (Gigamax)
13;Aspicot;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/weedle.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Aspicot
14;Coconfort;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/kakuna.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Coconfort
15;Dardargnan;;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/beedrill.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Dardargnan
15;Dardargnan;Mega;0;6;FALSE;https://img.pokemondb.net/sprites/home/normal/beedrill-mega.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Dardargnan (Mega)
16;Roucool;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/pidgey.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Roucool
17;Roucoups;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/pidgeotto.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Roucoups
18;Roucarnage;;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/pidgeot.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Roucarnage
18;Roucarnage;Mega;0;6;FALSE;https://img.pokemondb.net/sprites/home/normal/pidgeot-mega.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Roucarnage (Mega)
19;Rattata;Mâle;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/rattata.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Rattata (Mâle)
19;Rattata;Femelle;0;1;TRUE;https://img.pokemondb.net/sprites/home/normal/rattata-f.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Rattata (Femelle)
19;Rattata;Alola;1;7;TRUE;https://img.pokemondb.net/sprites/home/normal/rattata-alolan.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Rattata (Alola)
20;Rattatac;Mâle;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/raticate.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Rattatac (Mâle)
20;Rattatac;Femelle;0;1;FALSE;https://img.pokemondb.net/sprites/home/normal/raticate-f.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Rattatac (Femelle)
20;Rattatac;Alola;1;7;FALSE;https://img.pokemondb.net/sprites/home/normal/raticate-alolan.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Rattatac (Alola)
21;Piafabec;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/spearow.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Piafabec
22;Rapasdepic;;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/fearow.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Rapasdepic
23;Abo;;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/023.png;Poison;;35;60;44;40;54;55;Intimidation;Mue;;Tension;;Ekans;6.9;2;255;Terrestre;Draconique;20;50;Moyennement rapide;Serpent;ATT +1;;TRUE;FALSE;NA;Abo
24;Arbok;;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/024.png;Poison;;60;95;69;65;79;80;Intimidation;Mue;;Tension;;Arbok;65;3.5;90;Terrestre;Draconique;20;50;Moyennement rapide;Cobra;ATT +2;Abo (Niveau 22);TRUE;TRUE;NA;Arbok
25;Pikachu;Femelle;0;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/025-f.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;Pichu (Bonheur);TRUE;FALSE;NA;Pikachu (Femelle)
25;Pikachu;Mâle;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/025.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;Pichu (Bonheur);TRUE;FALSE;NA;Pikachu (Mâle)
25;Pikachu;Casquette d'Alola;0;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/025-a.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;;TRUE;FALSE;NA;Pikachu (Casquette d'Alola)
25;Pikachu;Casquette de Hoenn;0;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/025-h.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;;TRUE;FALSE;NA;Pikachu (Casquette de Hoenn)
25;Pikachu;Casquette de Johto;0;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/025-o.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;;TRUE;FALSE;NA;Pikachu (Casquette de Johto)
25;Pikachu;Casquette de Kalos;0;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/025-k.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;;TRUE;FALSE;NA;Pikachu (Casquette de Kalos)
25;Pikachu;Casquette Partenaire;0;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/025-p.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;;TRUE;FALSE;NA;Pikachu (Casquette Partenaire)
25;Pikachu;Casquette de Sinnoh;0;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/025-s.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;;TRUE;FALSE;NA;Pikachu (Casquette de Sinnoh)
25;Pikachu;Casquette de Unys;0;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/025-u.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;;TRUE;FALSE;NA;Pikachu (Casquette de Unys)
25;Pikachu;Casquette Monde;0;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/025-w.png;Electrik;;35;55;40;50;50;90;Statik;;;Paratonnerre;;Pikachu;6;0.4;190;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +2;;TRUE;FALSE;NA;Pikachu (Casquette Monde)
25;Pikachu;Gigamax;0;8;FALSE;https://img.pokemondb.net/sprites/home/normal/pikachu-gigantamax.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Pikachu (Gigamax)
26;Raichu;Femelle;0;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/026-f.png;Electrik;;60;90;55;90;80;110;Statik;;;Paratonnerre;;Raichu;30;0.8;75;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +3;Pikachu (Pierre Foudre);TRUE;FALSE;NA;Raichu (Femelle)
26;Raichu;Mâle;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/026.png;Electrik;;60;90;55;90;80;110;Statik;;;Paratonnerre;;Raichu;30;0.8;75;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +3;Pikachu (Pierre Foudre);TRUE;FALSE;NA;Raichu (Mâle)
26;Raichu;Alola;1;7;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/026-a.png;Electrik;Psy;60;85;50;95;85;110;Surf Caudal;;;;;Alolan Raichu;21;0.7;75;Terrestre;Féerique;10;50;Moyennement rapide;Souris;VIT +3;;TRUE;FALSE;NA;Raichu (Alola)
27;Sabelette;;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/027.png;Sol;;50;75;85;20;30;40;Voile Sable;;;Baigne Sable;;Sandshrew;12;0.6;255;Terrestre;;20;50;Moyennement rapide;Souris;DEF +1;;TRUE;FALSE;NA;Sabelette
27;Sabelette;Alola;1;7;TRUE;https://www.serebii.net/scarletviolet/pokemon/027-a.png;Glace;Acier;50;75;90;10;35;40;Rideau Neige;;;Chasse-Neige;;Alolan Sandshrew;40;0.7;255;Terrestre;;20;50;Moyennement rapide;Souris;DEF +1;;TRUE;FALSE;NA;Sabelette (Alola)
28;Sablaireau;;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/028.png;Sol;;75;100;110;45;55;65;Voile Sable;;;Baigne Sable;;Sandslash;29.5;1;90;Terrestre;;20;50;Moyennement rapide;Souris;DEF +2;Sabelette (Niveau 22);TRUE;FALSE;NA;Sablaireau
28;Sablaireau;Alola;1;7;FALSE;https://www.serebii.net/scarletviolet/pokemon/028-a.png;Glace;Acier;75;100;120;25;65;65;Rideau Neige;;;Chasse-Neige;;Alolan Sandslash;55;1.2;90;Terrestre;;20;50;Moyennement rapide;Souris;DEF +2;Sabelette Alola (Pierre Glace);TRUE;TRUE;NA;Sablaireau (Alola)
29;Nidoran F;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/nidoran-f.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Nidoran F
30;Nidorina;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/nidorina.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Nidorina
31;Nidoqueen;;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/nidoqueen.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;TRUE;NA;Nidoqueen
32;Nidoran M;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/nidoran-m.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Nidoran M
33;Nidorino;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/nidorino.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Nidorino
34;Nidoking;;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/nidoking.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Nidoking
35;Mélofée;;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/035.png;Fée;;70;45;48;60;65;35;Garde Magik;Joli Sourire;;Garde Amie;;Clefairy;7.5;0.6;150;Féerique;;10;25;Rapide;Fée;PV +2;Mélo (Bonheur);TRUE;FALSE;NA;Mélofée
36;Mélodelfe;;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/036.png;Fée;;95;70;73;95;90;60;Garde Magik;Joli Sourire;;Inconscient;;Clefable;40;1.3;25;Féerique;;10;25;Rapide;Fée;PV +3;Mélofée (Pierre Lune);TRUE;FALSE;NA;Mélodelfe
37;Goupix;;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/037.png;Feu;;38;41;40;50;65;65;Torche;;;Sécheresse;;Vulpix;9.9;0.6;190;Terrestre;;20;25;Moyennement rapide;Renard;VIT +1;;TRUE;FALSE;NA;Goupix
37;Goupix;Alola;1;7;TRUE;https://www.serebii.net/scarletviolet/pokemon/037-a.png;Glace;;38;41;40;50;65;65;Rideau Neige;;;Alerte Neige;;Alolan Vulpix;9.9;0.6;190;Terrestre;;20;25;Moyennement rapide;Renard;VIT +1;;TRUE;FALSE;NA;Goupix (Alola)
38;Feunard;;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/038.png;Feu;;73;76;75;81;100;100;Torche;;;Sécheresse;;Ninetales;19.9;1.1;75;Terrestre;;20;25;Moyennement rapide;Renard;SDEF +1 / VIT +1;Goupix (Pierre Feu);TRUE;TRUE;NA;Feunard
38;Feunard;Alola;1;7;FALSE;https://www.serebii.net/scarletviolet/pokemon/038-a.png;Glace;Fée;73;67;75;81;100;109;Rideau Neige;;;Alerte Neige;;Alolan Ninetales;19.9;1.1;75;Terrestre;;20;25;Moyennement rapide;Renard;SDEF +1 / VIT +1;Goupix Alola (Pierre Glace);TRUE;TRUE;NA;Feunard (Alola)
39;Rondoudou;;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/039.png;Normal;Fée;115;45;20;45;25;20;Battant;;;Garde Amie;;Jigglypuff;5.5;0.5;170;Féerique;;10;25;Rapide;Bouboule;PV +2;Toudoudou (Bonheur);TRUE;FALSE;NA;Rondoudou
40;Grodoudou;;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/040.png;Normal;Fée;140;70;45;85;50;45;Battant;;;Fouille;;Wigglytuff;12;1;50;Féerique;;10;25;Rapide;Bouboule;PV +3;Rondoudou (Pierre Lune);TRUE;FALSE;NA;Grodoudou
41;Nosferapti;Femelle;0;1;TRUE;https://img.pokemondb.net/sprites/legends-arceus/normal/zubat-f.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Nosferapti (Femelle)
41;Nosferapti;Mâle;1;1;TRUE;https://img.pokemondb.net/sprites/legends-arceus/normal/zubat.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Nosferapti (Mâle)
42;Nosferalto;Femelle;0;1;TRUE;https://img.pokemondb.net/sprites/legends-arceus/normal/golbat-f.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Nosferalto (Femelle)
42;Nosferalto;Mâle;1;1;TRUE;https://img.pokemondb.net/sprites/legends-arceus/normal/golbat.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Nosferalto (Mâle)
43;Mystherbe;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/oddish.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Mystherbe
44;Ortide;Femelle;0;1;TRUE;https://img.pokemondb.net/sprites/home/normal/gloom-f.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Ortide (Femelle)
44;Ortide;Mâle;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/gloom.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Ortide (Mâle)
45;Rafflesia;Femelle;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/vileplume-f.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Rafflesia (Femelle)
45;Rafflesia;Mâle;0;1;FALSE;https://img.pokemondb.net/sprites/home/normal/vileplume.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Rafflesia (Mâle)
46;Paras;;1;1;TRUE;https://img.pokemondb.net/sprites/legends-arceus/normal/paras.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Paras
47;Parasect;;1;1;FALSE;https://img.pokemondb.net/sprites/legends-arceus/normal/parasect.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Parasect
48;Mimitoss;;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/048.png;Insecte;Poison;60;55;50;40;55;45;Lentiteintée;Oeil Composé;;Fuite;;Venonat;30;1;190;Insectoïde;;20;50;Moyennement rapide;Vermine;SDEF +1;;TRUE;FALSE;NA;Mimitoss
49;Aéromite;;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/049.png;Insecte;Poison;70;65;60;90;75;90;Ecran Poudre;Lentiteintée;;Peau Miracle;;Venomoth;12.5;1.5;75;Insectoïde;;20;50;Moyennement rapide;Papipoison;SATT +1 / VIT +1;Mimitoss (Niveau 31);TRUE;FALSE;NA;Aéromite
50;Taupiqueur;;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/050.png;Sol;;10;55;25;35;45;95;Piège Sable;Voile Sable;;Force Sable;;Diglett;0.8;0.2;255;Terrestre;;20;50;Moyennement rapide;Taupe;VIT +1;;TRUE;FALSE;NA;Taupiqueur
50;Taupiqueur;Alola;1;7;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/050-a.png;Sol;Acier;10;55;30;35;45;90;Mèche Rebelle;Voile Sable;;Force Sable;;Alolan Diglett;1;0.2;255;Terrestre;;20;50;Moyennement rapide;Taupe;VIT +1;;TRUE;FALSE;NA;Taupiqueur (Alola)
51;Triopikeur;;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/051.png;Sol;;35;100;50;50;70;120;Piège Sable;Voile Sable;;Force Sable;;Dugtrio;33.3;0.7;50;Terrestre;;20;50;Moyennement rapide;Taupe;VIT +2;Taupiqueur (Niveau 26);TRUE;FALSE;NA;Triopikeur
51;Triopikeur;Alola;1;7;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/051-a.png;Sol;Acier;35;100;60;50;70;110;Mèche Rebelle;Voile Sable;;Force Sable;;Alolan Dugtrio;66.6;0.7;50;Terrestre;;20;50;Moyennement rapide;Taupe;ATT +2;Taupiqueur Alola (Niveau 26);TRUE;FALSE;NA;Triopikeur (Alola)
52;Miaouss;;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/052.png;Normal;;40;45;35;40;40;90;Ramassage;Technicien;;Tension;;Meowth;4.2;0.4;255;Terrestre;;20;50;Moyennement rapide;Chadégout;VIT +1;;TRUE;FALSE;NA;Miaouss
52;Miaouss;Alola;1;7;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/052-a.png;Ténèbres;;40;35;35;50;40;90;Ramassage;Technicien;;Phobique;;Alolan Meowth;4.2;0.4;255;Terrestre;;20;50;Moyennement rapide;Chadégout;VIT +1;;TRUE;FALSE;NA;Miaouss (Alola)
52;Miaouss;Galar;1;8;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/052-g.png;Acier;;50;65;55;40;40;40;Griffe Dure;Ramassage;;Tension;;Galarian Meowth;7.5;0.4;255;Terrestre;;20;50;Moyennement rapide;Chadégout;VIT +1;;TRUE;FALSE;NA;Miaouss (Galar)
52;Miaouss;Gigamax;0;8;FALSE;https://img.pokemondb.net/sprites/home/normal/meowth-gigantamax.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;NA;;FALSE;FALSE;NA;Miaouss (Gigamax)
53;Persian;;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/053.png;Normal;;65;70;60;65;65;115;Echauffement;Technicien;;Tension;;Persian;32;1;90;Terrestre;;20;50;Moyennement rapide;Chadeville;VIT +2;Miaouss (Niveau 28);TRUE;FALSE;NA;Persian
53;Persian;Alola;1;7;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/053-a.png;Ténèbres;;65;60;60;75;65;115;Technicien;Toison Epaisse;;Phobique;;Alolan Persian;33.3;1.1;90;Terrestre;;20;50;Moyennement rapide;Chadeville;VIT +2;Miaouss Alola (Bonheur);TRUE;FALSE;NA;Persian (Alola)
54;Psykokwak;;1;1;TRUE;https://www.serebii.net/scarletviolet/pokemon/new/054.png;Eau;;50;52;48;65;50;55;Ciel Gris;Moiteur;;Glissade;;Psyduck;19.6;0.8;190;Aquatique 1;Terrestre;20;50;Moyennement rapide;Canard;SATT +1 / VIT +1;;TRUE;FALSE;NA;Psykokwak
55;Akwakwak;;1;1;FALSE;https://www.serebii.net/scarletviolet/pokemon/new/055.png;Eau;;80;82;78;95;80;85;Ciel Gris;Moiteur;;Glissade;;Golduck;76.6;1.7;75;Aquatique 1;Terrestre;20;50;Moyennement rapide;Canard;SATT +2;Psykokwak (Niveau 33);TRUE;FALSE;NA;Akwakwak
